Adhara,Unurgunite
kap-CMa,Adhara
Arcturus,Izar
Izar,del-Boo
del-Boo,Nekkar
Nekkar,Seginus
Seginus,rho-Boo
rho-Boo,Arcturus
ups-Boo,Muphrid
Muphrid,Arcturus
zet-Boo,Arcturus
tet-CrB,Nusakan
Nusakan,Alphecca
Alphecca,del-CrB
del-CrB,eps-CrB
eps-CrB,iot-CrB
eta-Her,zet-Her
zet-Her,eps-Her
eps-Her,pi.-Her
pi.-Her,eta-Her
chi-Her,phi-Her
phi-Her,tau-Her
tau-Her,sig-Her
sig-Her,eta-Her
gam-Her,Kornephoros
Kornephoros,zet-Her
omi-Her,ksi-Her
ksi-Her,Maasym
Maasym,eps-Her
Sarin,Maasym
iot-Her,tet-Her
tet-Her,rho-Her
rho-Her,e-Her
e-Her,pi.-Her
Rasalhague,kap-Oph
kap-Oph,Yed-Posterior
Yed-Posterior,zet-Oph
zet-Oph,Sabik
Sabik,Cebalrai
Cebalrai,Rasalhague
c-Oph,Sabik
nu.-Ser,ksi-Ser
ksi-Ser,omi-Ser
omi-Ser,eta-Ser
eta-Ser,tet01-Ser
mu.-Ser,eps-Ser
eps-Ser,Unukalhai
Unukalhai,del-Ser-A
del-Ser-A,gam-Ser
Zubenelhakrabi,Zubeneschamali
Zubeneschamali,Zubenelgenubi
Zubenelgenubi,Brachium
Brachium,Zubenelhakrabi
Zubenelhakrabi,tet-Lib
Antares,bet01-Sco
Antares,Dschubba
Antares,Fang
Antares,Paikauhale
Paikauhale,Larawag
Larawag,Xamidimura
Xamidimura,zet01-Sco
zet01-Sco,eta-Sco
eta-Sco,Sargas
Sargas,iot01-Sco
iot01-Sco,kap-Sco
kap-Sco,Shaula
alf-Sct,bet-Sct
alf-Sct,gam-Sct
Kaus-Australis,Alnasl
Alnasl,Kaus-Media
Kaus-Media,Kaus-Borealis
Kaus-Borealis,phi-Sgr
phi-Sgr,Nunki
Nunki,tau-Sgr
tau-Sgr,Ascella
Ascella,Kaus-Australis
Kaus-Australis,eta-Sgr
Kaus-Australis,Kaus-Media
Kaus-Media,phi-Sgr
Kaus-Borealis,Polis
Alnasl,X-Sgr
phi-Sgr,Ascella
Nunki,ksi02-Sgr
ksi02-Sgr,omi-Sgr
omi-Sgr,d-Sgr
d-Sgr,rho01-Sgr
tau-Sgr,h01-Sgr
h01-Sgr,c-Sgr
c-Sgr,tet01-Sgr
tet01-Sgr,iot-Sgr
iot-Sgr,Arkab-Posterior
iot-Sgr,Rukbat
Algedi,Dabih-Major
Dabih-Major,psi-Cap
Dabih-Major,tet-Cap
tet-Cap,iot-Cap
iot-Cap,zet-Cap
zet-Cap,tet-Cap
tet-Cap,ome-Cap
iot-Cap,Nashira
Nashira,Deneb-Algedi
Sadalmelik,Sadalsuud
Sadalsuud,Albali
Sadalmelik,Ancha
Ancha,iot-Aqr
Ancha,sig-Aqr
sig-Aqr,tau-Aqr
tau-Aqr,Skat
Skat,c02-Aqr
Sadalmelik,Sadachbia
Sadachbia,zet-Aqr
zet-Aqr,eta-Aqr
eta-Aqr,lam-Aqr
lam-Aqr,psi01-Aqr
psi01-Aqr,b01-Aqr
Diphda,tau-Cet
tau-Cet,sig-Cet
sig-Cet,pi.-Cet
pi.-Cet,eps-Cet
eps-Cet,rho-Cet
rho-Cet,Baten-Kaitos
Baten-Kaitos,tet-Cet
tet-Cet,eta-Cet
eta-Cet,Diphda
iot-Cet,Diphda
Menkar,lam-Cet
lam-Cet,mu.-Cet
mu.-Cet,ksi02-Cet
ksi02-Cet,nu.-Cet
nu.-Cet,Kaffaljidhma
Kaffaljidhma,Menkar
Kaffaljidhma,del-Cet
del-Cet,eps-Cet
ksi01-Cet,ksi02-Cet
