C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET12:33:24

Vmag < 5 & dec > -40
--------------------

Number of objects : 1443

 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
49  	* alf UMi                	cC*	037.95456067 +89.26410897  	 3.00 	 2.62 	 2.02 	 1.53 	 1.22 	F8Ib                  
50  	* nu.02 CMa              	V* 	099.17098990 -19.25587942  	 5.96 	 5.011	 3.91 	 3.13 	 2.61 	K1III                 
51  	* bet Ori                	s*b	078.63446707 -08.20163836  	-0.56 	 0.10 	 0.13 	 0.13 	 0.15 	B8Iae                 
52  	* 2 Sco                  	** 	238.40299500 -25.32714131  	 3.86 	 4.52 	 4.59 	     ~	     ~	B2.5Vn                
53  	* pi. Pup                	sr*	109.28565325 -37.09747115  	 5.57 	 4.32 	 2.70 	 1.46 	 0.55 	K3Ib+B5+              
54  	* del Cap                	Al*	326.76018434 -16.12728709  	 3.22 	 3.12 	 2.83 	 2.59 	 2.43 	kA5hF0mF2III          
55  	* eps Del                	V* 	308.30321633 +11.30326144  	 3.43 	 3.90 	 4.03 	 4.05 	 4.18 	B6III                 
56  	* sig Leo                	*  	170.28413955 +06.02932527  	     ~	 3.996	 4.044	     ~	     ~	B9.5Vs                
57  	HR 1621                  	*  	075.35658551 -20.05192075  	     ~	 4.852	 4.894	     ~	     ~	B9V                   
58  	* 31 Ori                 	V* 	082.43325883 -01.09223861  	     ~	 6.28 	 4.71 	     ~	     ~	K4III                 
59  	* ups And                	SB*	024.19934235 +41.40545674  	 4.70 	 4.64 	 4.10 	 3.64 	 3.35 	F9V                   
60  	* zet01 Lyr              	SB*	281.19315564 +37.60511585  	 4.71 	 4.55 	 4.36 	 4.21 	 4.13 	Am                    
61  	BD+23 1170A              	*i*	091.03008 +23.26364        	     ~	 5.0  	 4.2  	     ~	     ~	G5III                 
62  	HR 4997                  	*  	198.42892687 +40.15288339  	     ~	 5.99 	 4.94 	     ~	     ~	G8II-III              
63  	* g Aqr                  	V* 	340.89680445 -18.83037658  	     ~	 6.06 	 4.69 	     ~	     ~	K3III                 
64  	* 37 LMi                 	*  	159.68005287 +31.97623907  	     ~	 5.489	 4.689	     ~	     ~	G0II                  
65  	* l Eri A                	PM*	069.545104 -14.303983      	     ~	 5.03 	 3.89 	     ~	     ~	~                     
66  	* ksi Boo A              	PM*	222.847025 +19.100625      	     ~	 5.40 	 4.675	     ~	     ~	G7Ve                  
67  	* bet Gem                	PM*	116.32895777 +28.02619889  	 3.00 	 2.14 	 1.14 	 0.39 	-0.11 	K0III                 
68  	* pi. Tau                	*  	066.65154553 +14.71378127  	 6.39 	 5.67 	 4.69 	 3.97 	 3.46 	G7IIIa                
69  	* bet Scl                	*  	353.24274574 -37.81826583  	 3.92 	 4.28 	 4.37 	 4.37 	 4.44 	B9.5IIIpHgMnSi        
70  	* ups Per                	*  	024.49815413 +48.62821376  	 6.29 	 4.85 	 3.57 	 2.61 	 1.96 	K3-III                
71  	* ome Cas                	SB*	029.00011601 +68.68524062  	     ~	 4.887	 4.970	     ~	     ~	B5III                 
72  	* lam Dra                	sr*	172.85091980 +69.33107490  	 7.44 	 5.47 	 3.85 	 2.54 	 1.55 	M0III-IIIa_Ca1        
73  	M 7                      	OpC	268.4625 -34.7933          	     ~	 3.45 	 3.3  	     ~	     ~	~                     
74  	* b And                  	SB*	033.30551610 +44.23165405  	     ~	 6.362	 4.844	     ~	     ~	K3III_Ba0.5           
75  	V* R Hya                 	Mi*	202.42825778 -23.28132630  	 7.26 	 6.58 	 4.97 	 2.27 	-0.15 	M6-9e                 
76  	* d Boo                  	SB*	212.59972259 +25.09167762  	 5.44 	 5.37 	 4.83 	 4.39 	 4.10 	F8V                   
77  	* bet Leo                	dS*	177.26490976 +14.57205806  	 2.30 	 2.22 	 2.13 	 2.08 	 2.06 	A3Va                  
78  	* ksi Aqr                	SB*	324.43795545 -07.85420276  	 5.01 	 4.86 	 4.69 	 4.52 	 4.42 	K0III                 
79  	* del Oph                	V* 	243.58641053 -03.69432256  	 6.30 	 4.34 	 2.75 	 1.46 	 0.43 	M0.5III               
80  	HR 1427                  	dS*	067.64013586 +16.19401244  	     ~	 4.952	 4.773	 6.52 	     ~	A6IV                  
81  	* bet Mon                	** 	097.20445711 -07.03305837  	 2.85 	 3.59 	 3.74 	 3.75 	 3.91 	B4Ve+B2Vn(e)+B3V:nne  
82  	* alf Com                	** 	197.49702169 +17.52945526  	     ~	 4.77 	 4.32 	 4.1  	 3.9  	F5V+F6V               
83  	* alf PsA                	** 	344.41269272 -29.62223703  	 1.31 	 1.25 	 1.16 	 1.11 	 1.09 	A4V                   
84  	* gam Sct                	*  	277.29939118 -14.56581441  	     ~	 4.755	 4.686	     ~	     ~	A1IV/V                
85  	* eps Tau                	** 	067.15416174 +19.18042906  	 5.42 	 4.54 	 3.53 	     ~	     ~	K0III                 
86  	* nu.02 Dra              	SB*	263.06676933 +55.17295844  	     ~	 5.139	 4.865	 4.7  	 4.5  	kA4hF2VmF3            
87  	* 30 Gem                 	PM*	100.99705272 +13.22801972  	 6.82 	 5.65 	 4.49 	 3.63 	 3.03 	K1III                 
