C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET12:33:24

Vmag < 5 & dec > -40
--------------------

Number of objects : 1443

 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
208 	* del Boo                	*  	228.87567897 +33.31483127  	 5.12 	 4.44 	 3.49 	 2.76 	 2.25 	G8IV                  
209 	V* VV Cep                	Al*	329.16309937 +63.62556040  	 7.03 	 6.65 	 4.90 	 3.19 	 1.85 	M2epIa-Iab+B8:eV      
210 	* 70 Oph                 	BY*	271.36368827 +02.50009883  	 5.40 	 4.89 	 4.03 	 3.38 	 2.92 	K0-V                  
211 	* k02 Pup                	V* 	114.707788 -26.803833      	     ~	 4.26 	 4.429	     ~	     ~	B5IV                  
212 	* alf Lyn                	PM*	140.26375310 +34.39256237  	 6.63 	 4.69 	 3.14 	 1.91 	 1.01 	K7III                 
213 	HR 7659                  	V* 	301.08164113 -32.05629802  	     ~	 6.20 	 4.99 	     ~	     ~	K1III/IV              
214 	* del Equ                	SB*	318.62006378 +10.00697940  	 4.98 	 4.99 	 4.49 	 4.06 	 3.78 	F7(V)+G0(V)           
215 	* ups02 Eri              	*  	068.88765974 -30.56234160  	 5.52 	 4.80 	 3.82 	 3.07 	 2.58 	G8+III                
216 	V* V841 Oph              	No*	254.87654 -12.89086        	     ~	 5.0  	 4.3  	12.200	     ~	~                     
217 	* kap Aur                	V* 	093.84453775 +29.49807668  	 6.17 	 5.36 	 4.35 	 3.55 	 3.01 	G8.5IIIb              
218 	* 55 UMa                 	SB*	169.78291520 +38.18556347  	     ~	 4.90 	 4.80 	     ~	     ~	A2V                   
219 	* 37 Lib                 	PM*	233.54459205 -10.06452954  	 6.48 	 5.63 	 4.62 	 3.85 	 3.33 	K1V                   
220 	NOVA Gem 1903            	No*	101.05021 +29.94497        	     ~	     ~	 4.8  	     ~	     ~	~                     
221 	* tau Per                	Al*	043.56442116 +52.76247888  	 5.17 	 4.71 	 3.96 	 3.33 	 2.89 	G8III+A7V             
222 	* tau01 Hya              	SB*	142.28706895 -02.76896247  	     ~	 5.06 	 4.60 	 4.6  	     ~	F5V                   
223 	* eta Gem A              	*  	093.719562 +22.506822      	     ~	 4.93 	 3.32 	     ~	     ~	~                     
224 	* rho Per                	sr*	046.29414106 +38.84027619  	 6.83 	 5.04 	 3.39 	 1.59 	-0.03 	M4+IIIa               
225 	* chi Vir                	** 	189.81152931 -07.99556457  	     ~	 5.886	 4.643	 6.45 	     ~	K2III                 
226 	HR 4979                  	*  	198.01327091 -37.80302504  	 5.86 	 5.55 	 4.85 	 4.28 	 3.92 	G3V                   
227 	V* VZ Cam                	sr*	112.76859477 +82.41146631  	 8.42 	 6.62 	 4.96 	     ~	     ~	M4IIIa                
228 	* bet Eri                	PM*	076.96243955 -05.08644597  	 3.02 	 2.92 	 2.79 	 2.65 	 2.57 	A3IV                  
229 	* h Her                  	V* 	248.15121625 +11.48804109  	 8.16 	 6.34 	 4.85 	 3.65 	 2.79 	K4III                 
230 	* 56 Ori                 	V* 	088.11016059 +01.85513772  	     ~	 6.168	 4.763	     ~	     ~	K1/2III               
231 	* ups01 Pup              	Be*	109.57663895 -36.73395359  	 3.78 	 4.57 	 4.67 	 4.57 	 4.62 	B2V+B3IVne            
232 	* bet01 Mon              	Be*	097.20445713 -07.03305836  	 3.87 	 4.50 	 4.60 	     ~	     ~	B4Veshell             
233 	* kap Leo                	** 	141.16357808 +26.18232361  	 7.00 	 5.69 	 4.46 	 3.55 	 2.92 	K2III                 
234 	* Q Sco                  	PM*	264.13676323 -38.63536804  	     ~	 5.356	 4.272	     ~	     ~	G8/K0III/IV           
235 	* 35 Peg                 	PM*	336.96467687 +04.69566681  	 6.74 	 5.86 	 4.80 	 4.02 	 3.46 	G8IV                  
236 	* phi Sgr                	*  	281.41410877 -26.99077623  	 2.69 	 3.074	 3.161	     ~	     ~	B8III                 
237 	* eps Lep                	V* 	076.36527238 -22.37103442  	 6.41 	 4.64 	 3.18 	 2.08 	 1.27 	K4III                 
238 	* i Dra                  	LP?	207.85808074 +64.72327019  	 8.12 	 6.23 	 4.66 	 3.05 	 1.69 	M3III                 
239 	* k Vel                  	*  	138.93783361 -37.41314465  	 5.17 	 5.07 	 4.62 	 4.24 	 3.96 	F3/5V                 
240 	* psi Sco                	*  	242.99995217 -10.06424119  	     ~	 5.040	 4.940	     ~	     ~	A1V                   
241 	C 0516+732               	OpC	078.16250 +73.97472        	     ~	     ~	 4.2  	     ~	     ~	~                     
242 	HD 36960                 	IR 	083.76116975 -06.00202877  	 3.52 	 4.53 	 4.78 	     ~	     ~	B1/2Ib/II             
243 	* tet Col                	*  	091.88180066 -37.25291982  	     ~	 4.899	 4.993	     ~	     ~	B(8)IV                
244 	* tau Cas                	V* 	356.76439513 +58.65198888  	     ~	 6.005	 4.881	     ~	     ~	K1III                 
245 	* ups Sco                	*  	262.69098801 -37.29581348  	 1.64 	 2.47 	 2.70 	     ~	     ~	B2IV                  
246 	* nu. For                	a2*	031.12266087 -29.29681882  	 4.01 	 4.52 	 4.69 	 4.73 	 4.87 	B9.5IIIspSi           
247 	* gam Equ A              	*  	317.585421 +10.131575      	     ~	 5.01 	 4.70 	     ~	     ~	~                     
248 	* 2 Cet                  	*  	000.93494934 -17.33599220  	 4.4  	 4.503	 4.543	     ~	 4.58 	B9IVn                 
249 	* f02 Cyg                	*  	316.65039090 +47.64840251  	     ~	 6.138	 4.549	     ~	     ~	K4Ib-IIa              
250 	* gam Cae A              	*  	076.101679 -35.482975      	     ~	 5.792	 4.574	     ~	     ~	K2.5IIIb              
251 	* tau03 Eri              	*  	045.59791413 -23.62447044  	 4.33 	 4.25 	 4.09 	 3.96 	 3.87 	A3IV-V                
252 	LEDA 3129223             	PoG	116.720583 +39.014236      	     ~	 0.754	 0.895	 1.08 	     ~	~                     
253 	* 48 Lib                 	Be*	239.54736956 -14.27935817  	 4.61 	 4.77 	 4.87 	 4.91 	 4.96 	B8Ia/Iab              
254 	* sig Cyg                	*  	319.35396850 +39.39468133  	 3.98 	 4.37 	 4.24 	 4.06 	 3.92 	B9Iab                 
255 	* c01 Aqr                	** 	346.67018679 -23.74312068  	     ~	 5.37 	 4.47 	     ~	     ~	G8III                 
256 	* tet02 Ser              	*  	284.06098697 +04.20211858  	     ~	 5.18 	 4.98 	     ~	     ~	A5Vn                  
257 	* alf Aur                	SB*	079.17232794 +45.99799147  	 1.33 	 0.88 	 0.08 	-0.52 	-0.96 	G1III+K0III           
258 	* ome02 Sco              	V* 	241.85136741 -20.86876440  	 5.68 	 5.17 	 4.33 	 3.68 	 3.25 	G6/8III               
259 	* psi01 Dra A            	SB*	265.48481402 +72.14884670  	     ~	 5.00 	 4.56 	 4.3  	 4.1  	F5IV-V                
260 	* kap And                	*  	355.10211514 +44.33393239  	 3.80 	 4.06 	 4.14 	 4.15 	 4.22 	A0V                   
261 	* 50 Cas                 	*  	030.85877576 +72.42129382  	     ~	 3.971	 3.948	     ~	     ~	A2V                   
262 	HD 20644                 	*  	050.08483796 +29.04845698  	 7.81 	 6.02 	 4.47 	 3.27 	 2.39 	K3IIIa_Ba0.5          
263 	* 54 Eri                 	sr*	070.11046685 -19.67149158  	 7.80 	 5.90 	 4.30 	 2.81 	 1.40 	M3/4III               
264 	* ups Boo                	V* 	207.36933660 +15.79790563  	 7.46 	 5.59 	 4.07 	 2.87 	 2.00 	K5.5III               
265 	* f01 Cyg                	Be*	314.95648818 +47.52095045  	 3.77 	 4.71 	 4.75 	 4.62 	 4.63 	B1.5Vnne              
266 	* f Aql                  	SB*	290.13710155 -05.41576222  	     ~	 5.917	 4.995	     ~	     ~	G8/K0IV               
267 	* alf01 Cap              	** 	304.41195781 -12.50821094  	 6.14 	 5.34 	 4.27 	 3.49 	 2.94 	G3Ib                  
268 	* 38 Lyn A               	*  	139.711108 +36.802875      	     ~	 3.96 	 3.92 	     ~	     ~	~                     
269 	C 0715-367               	OpC	109.3208 -36.8167          	     ~	 2.69 	 2.1  	     ~	     ~	~                     
270 	* alf UMa                	SB*	165.93196467 +61.75103469  	 3.78 	 2.86 	 1.79 	 0.98 	 0.40 	G9III+A7.5            
271 	* eps Cap                	Be*	324.27012783 -19.46601288  	 3.69 	 4.35 	 4.55 	 4.60 	 4.74 	B3V                   
272 	* gam02 Leo              	PM*	154.994250 +19.840750      	     ~	 3.4  	 4.225	 2.2  	     ~	G7IIIb                
273 	Cl Stock 2               	OpC	033.6792 +59.4850          	     ~	 4.89 	 4.4  	     ~	     ~	~                     
274 	* alf Gem B              	SB*	113.650417 +31.888492      	     ~	 1.62 	 2.97 	     ~	     ~	kA0hA2:mA1IVs         
275 	C 0523+160               	Cl*	081.5250 +16.7000          	     ~	     ~	 3.0  	     ~	     ~	~                     
276 	* kap01 Cet              	BY*	049.84040133 +03.37019865  	 5.71 	 5.52 	 4.85 	 4.27 	 3.91 	G5V                   
277 	* alf Cyg                	sg*	310.35797975 +45.28033881  	 1.11 	 1.34 	 1.25 	 1.14 	 1.04 	A2Ia                  
278 	* f Lup                  	V* 	229.45765869 -30.14867126  	 6.50 	 5.43 	 4.33 	 3.52 	 2.96 	K1II/III              
279 	* 15 Cyg                 	*  	296.06918684 +37.35435536  	     ~	 5.830	 4.899	     ~	     ~	G7III                 
280 	* del Aur                	SB*	089.88180005 +54.28465841  	 5.580	 4.730	 3.720	 2.95 	 2.45 	K0III                 
281 	V* V1500 Cyg             	No*	317.901333 +48.151628      	     ~	17.9  	 1.69 	     ~	     ~	~                     
282 	C 0722-321               	OpC	111.1125 -31.8500          	     ~	 3.65 	 3.5  	     ~	     ~	~                     
283 	* e Gem                  	** 	103.66097826 +13.17783909  	     ~	 4.982	 4.706	     ~	     ~	A8V                   
284 	* phi Tau                	*  	065.08839919 +27.35075025  	     ~	 6.111	 4.957	     ~	     ~	K1III                 
285 	* 93 Her                 	*  	270.01423359 +16.75091942  	 7.15 	 5.93 	 4.67 	 3.80 	 3.21 	K0.5IIb               
286 	* zet Boo A              	*  	220.287342 +13.728275      	     ~	 4.598	 4.547	     ~	     ~	~                     
287 	* tau Her                	** 	244.93515275 +46.31336453  	 3.190	 3.750	 3.900	 4.00 	 4.16 	B5IV                  
288 	* zet Ori                	** 	085.18969443 -01.94257359  	     ~	 1.59 	 1.79 	     ~	     ~	O9.7Ib+B0III          
289 	HR 2812                  	*  	110.55637088 -19.01660128  	 4.53 	 4.906	 4.957	     ~	     ~	B5II/III              
290 	* lam Gru                	*  	331.52869035 -39.54335163  	     ~	 5.874	 4.476	     ~	     ~	K3III                 
291 	* del PsA                	*  	343.98708443 -32.53962041  	     ~	 5.179	 4.226	     ~	     ~	G8III                 
292 	* tau Tau                	SB*	070.56125671 +22.95692260  	     ~	 4.152	 4.264	     ~	     ~	B3V                   
293 	* tet Boo                	V* 	216.29915428 +51.85074358  	 4.57 	 4.56 	 4.05 	 3.64 	 3.39 	F7V                   
294 	* ome Boo                	*  	225.52711895 +25.00813898  	 8.14 	 6.31 	 4.81 	 3.62 	 2.83 	K4III                 
295 	* rho Her                	** 	260.92060050 +37.14594278  	     ~	 4.49 	 4.56 	     ~	     ~	A0III+B9.5IVn         
296 	* 4 Cas                  	V* 	351.20942656 +62.28280815  	     ~	 6.660	 4.980	     ~	     ~	M1III                 
297 	* 2 Lac                  	SB*	335.25644694 +46.53656835  	 3.95 	 4.451	 4.551	     ~	     ~	B6V                   
298 	* rho Peg                	*  	343.80696653 +08.81616477  	 4.90 	 4.90 	 4.90 	 4.86 	 4.88 	A1V                   
299 	* 10 UMa                 	SB*	135.15991945 +41.78294587  	 4.440	 4.390	 3.960	 3.57 	 3.35 	F3V+K0V               
300 	* eps Lib                	SB*	231.04954586 -10.32227055  	     ~	 5.337	 4.928	     ~	     ~	F4V                   
301 	* P Cyg                  	s*b	304.44667535 +38.03293131  	 4.66 	 5.24 	 4.82 	 4.28 	 4.02 	B1-2_Ia-0_ep          
302 	* ups04 Eri              	SB*	064.47359336 -33.79834914  	 3.07 	 3.44 	 3.56 	 3.57 	 3.68 	B9V                   
303 	HR 7955                  	SB*	311.33803662 +57.57972444  	     ~	 5.05 	 4.51 	 4.2  	 3.9  	F8IV-V+F9IV-V         
304 	* 70 Peg                 	SB*	352.28873743 +12.76055329  	 6.24 	 5.50 	 4.56 	 3.82 	 3.37 	G7III                 
305 	* 41 Ari                 	** 	042.49597183 +27.26050723  	     ~	 3.515	 3.606	     ~	     ~	B8Vn                  
306 	* phi And                	Be*	017.37552340 +47.24179429  	 3.84 	 4.18 	 4.25 	 4.22 	 4.27 	B5IIIe                
307 	* 36 Oph                 	** 	258.83743307 -26.60282143  	     ~	 5.18 	 4.32 	     ~	     ~	K2V                   
308 	HR 2244                  	*  	093.93702370 -13.71841467  	     ~	 4.924	 4.998	     ~	     ~	B9V                   
309 	* eta Leo                	*  	151.83313275 +16.76266119  	 3.17 	 3.39 	 3.41 	 3.32 	 3.35 	A0Ib                  
310 	* mu. Aur                	** 	078.35715554 +38.48449663  	     ~	 5.020	 4.831	     ~	     ~	A4m                   
311 	* gam Scl                	*  	349.70600318 -32.53202471  	     ~	 5.545	 4.415	     ~	     ~	K1III                 
312 	* 7 Cet                  	LP?	003.66006897 -18.93286514  	 8.07 	 6.12 	 4.46 	 3.06 	 1.92 	M1III                 
313 	* pi. Vir                	SB*	180.21829342 +06.61432142  	     ~	 4.775	 4.659	     ~	 4.53 	A5V                   
314 	* gam CrB A              	*  	235.685704 +26.295633      	     ~	 4.01 	 4.04 	     ~	     ~	~                     
315 	* omi Cet A              	Mi*	034.836633 -02.977639      	     ~	 4.46 	 3.04 	     ~	     ~	M5-9e                 
316 	* rho Aql                	PM*	303.56924526 +15.19760896  	     ~	 5.013	 4.947	     ~	     ~	A1Va                  
317 	* del02 Lyr              	sr*	283.62618063 +36.89861482  	 7.62 	 5.97 	 4.30 	 2.52 	 0.89 	M4II                  
318 	* lam Col                	El*	088.27867089 -33.80136331  	 4.16 	 4.72 	 4.87 	 4.94 	 5.09 	B5V                   
319 	* alf Oph                	V* 	263.73362272 +12.56003739  	 2.32 	 2.22 	 2.07 	 1.93 	 1.85 	A5III                 
320 	* tau01 Eri              	SB*	041.27577960 -18.57255971  	 4.94 	 4.94 	 4.46 	 4.03 	 3.76 	F7V                   
321 	* 1 Vul                  	SB*	289.05433208 +21.39042608  	 4.18 	 4.72 	 4.77 	 4.76 	 4.83 	B4IV                  
322 	* eps Sco                	V* 	252.54087839 -34.29323159  	 4.61 	 3.45 	 2.29 	 1.43 	 0.83 	K1III                 
323 	* chi Pup                	V* 	119.41711012 -30.33457007  	 5.10 	 4.94 	 4.79 	 4.59 	 4.44 	A7III                 
324 	* alf Del                	** 	309.90953000 +15.91207326  	 3.550	 3.740	 3.800	 3.77 	 3.81 	B9IV                  
325 	* bet Lep                	** 	082.06134649 -20.75944105  	 4.13 	 3.66 	 2.84 	 2.19 	 1.75 	G0II                  
326 	* tet Cas                	V* 	017.77567602 +55.14990201  	 4.630	 4.510	 4.330	 4.16 	 4.09 	A7V                   
327 	* tau Aqr                	*  	342.39792320 -13.59263240  	 7.51 	 5.57 	 3.98 	 2.79 	 1.84 	K5III                 
328 	* tau Oph                	** 	270.77049968 -08.18034961  	     ~	 5.17 	 4.78 	 5.2  	     ~	F3IV                  
329 	V* alf Her               	sr*	258.661996 +14.390281      	 5.52 	 4.51 	 3.350	 0.96 	-1.18 	M5Ib-II               
330 	* iot Cnc                	PM*	131.67424952 +28.75989418  	     ~	 5.009	 4.028	     ~	     ~	G8IIIa_Ba0.2          
331 	* mu. And                	PM*	014.18838380 +38.49934390  	 4.14 	 3.99 	 3.87 	 3.72 	 3.64 	A5V                   
332 	NOVA Pup 2007 b          	No*	106.427112 -38.244286      	     ~	16.07 	 4.1  	15.86 	15.85 	~                     
333 	* eta Vir                	SB*	184.976475 -00.666794      	 3.99 	 3.92 	 3.90 	 3.82 	 3.82 	A2IV                  
334 	BD+77 764A               	*  	302.222292 +77.711422      	     ~	 4.35 	 4.40 	     ~	     ~	~                     
335 	HR 1190                  	V* 	057.149500 -37.620156      	     ~	 4.70 	 4.72 	     ~	     ~	B9/A0V                
336 	* nu.01 Sgr              	*  	283.54240398 -22.74484020  	     ~	 6.281	 4.859	     ~	     ~	K1II                  
337 	* F Hya                  	*  	130.91822271 -07.23373120  	     ~	 5.443	 4.642	     ~	     ~	G0/2Ib                
338 	* del Dra                	PM*	288.13875819 +67.66154044  	 4.85 	 4.07 	 3.07 	 2.37 	 1.86 	G9III                 
339 	* ksi Dra                	PM*	268.38220676 +56.87264285  	 6.14 	 4.93 	 3.75 	 2.92 	 2.33 	K2III                 
340 	* Q Cyg                  	No*	325.433021 +42.841408      	     ~	15.4  	 3.0  	15.4  	     ~	~                     
341 	* bet Cam                	*  	075.85454013 +60.44224709  	 5.57 	 4.95 	 4.02 	 3.33 	 2.86 	G1Ib-II               
342 	* f Pup                  	** 	114.34212409 -34.96853080  	 4.13 	 4.44 	 4.53 	 4.55 	 4.62 	B8IV/V                
343 	* 12 Per                 	SB*	040.56214871 +40.19394160  	 5.65 	 5.51 	 4.92 	 4.42 	 4.12 	F9V                   
344 	* 72 Leo                 	LP*	168.80094620 +23.09551036  	 8.14 	 6.29 	 4.63 	 3.07 	 1.76 	M3IIb                 
345 	* mu. Her                	** 	266.61469448 +27.72067718  	 4.56 	 4.17 	 3.42 	 2.89 	 2.51 	G5IV                  
346 	* e Gem A                	*  	103.660983 +13.177825      	     ~	 4.997	 4.715	     ~	     ~	~                     
347 	* 2 Lyn                  	EB*	094.90576908 +59.01096341  	     ~	 4.476	 4.446	     ~	 4.40 	A2Vs                  
348 	* alf Her                	SB*	258.66190909 +14.39034061  	     ~	 4.51 	 3.06 	     ~	     ~	M5Ib-II               
349 	V* BH CVn                	RS*	203.69920111 +37.18241608  	 5.43 	 5.38 	 4.98 	 4.57 	 4.27 	A6m                   
350 	* sig Aqr                	*  	337.66173110 -10.67795107  	 4.59 	 4.73 	 4.81 	 4.81 	 4.85 	A0IVs                 
351 	* del Leo                	PM*	168.52708927 +20.52371814  	 2.79 	 2.68 	 2.53 	 2.44 	 2.41 	A5IV(n)               
352 	* tau Vir                	*  	210.41163923 +01.54453181  	     ~	 4.341	 4.244	     ~	 4.11 	A2IV/V                
353 	* gam Tri                	PM*	034.32861264 +33.84719307  	     ~	 4.03 	 4.00 	     ~	 4.05 	A1Vnn                 
354 	* eps Mon A              	*  	095.94201964 +04.59286537  	     ~	 4.593	 4.414	     ~	     ~	A8V(n)                
355 	* rho Ori                	** 	078.32283394 +02.86126329  	 6.76 	 5.63 	 4.44 	 3.59 	 2.99 	K0III                 
356 	* 64 Eri                 	dS*	074.98223656 -12.53741619  	     ~	 5.033	 4.782	     ~	     ~	F0V                   
357 	* e Boo                  	SB*	207.42847736 +21.26410523  	     ~	 6.33 	 4.91 	     ~	     ~	K4III                 
358 	* psi02 Aqr              	Be*	349.47589051 -09.18251876  	 3.72 	 4.26 	 4.40 	 4.47 	 4.60 	B7/8V                 
359 	V* KQ Pup                	s*r	113.44984928 -14.52388960  	 6.67 	 6.38 	 4.97 	 3.41 	 2.08 	M1Iabe+B2             
360 	* chi Lup                	SB*	237.73974286 -33.62716537  	 3.77 	 3.926	 3.957	     ~	     ~	B9IV                  
361 	* gam Equ                	a2*	317.58541686 +10.13157674  	 5.03 	 4.94 	 4.68 	 4.43 	 4.32 	A9VpSrCrEu            
362 	[BAB2009] C              	PoG	116.725917 +39.005903      	     ~	 0.323	 0.360	 0.444	     ~	~                     
363 	* psi02 Lup              	SB*	235.67092523 -34.71040604  	 4.08 	 4.591	 4.717	     ~	     ~	B5V                   
364 	HR 6766                  	*  	272.02074923 -28.45709212  	 6.26 	 5.51 	 4.56 	 3.85 	 3.32 	K0IIICNVp             
365 	* 31 Leo                 	*  	151.97612736 +09.99750639  	 7.57 	 5.82 	 4.38 	 3.26 	 2.49 	K4III                 
366 	* sig Lib                	sr*	226.01756698 -25.28196129  	 6.86 	 4.91 	 3.21 	 1.60 	 0.33 	M3/4III               
367 	HD 172910                	*  	281.08066253 -35.64198739  	 3.97 	 4.69 	 4.87 	 5.02 	 5.18 	B2V                   
368 	* 61 Vir                 	PM*	199.60130946 -18.31119576  	 5.710	 5.440	 4.740	     ~	     ~	G7V                   
369 	* nu. Aqr                	*  	317.39853701 -11.37169030  	 6.13 	 5.46 	 4.52 	 3.83 	 3.37 	K0III                 
370 	* nu.03 CMa              	** 	099.47258932 -18.23747828  	 6.61 	 5.57 	 4.42 	 3.56 	 2.97 	K0II/III              
371 	* eps01 Lyr              	** 	281.08477455 +39.67012591  	     ~	 4.82 	 4.66 	 6.1  	     ~	A3V+F0V               
372 	* eta Aql                	cC*	298.11819895 +01.00565823  	 5.12 	 4.61 	 3.80 	     ~	 3.030	F6Iab+B9.8V           
373 	* b Per                  	SB*	064.56090374 +50.29550160  	     ~	 4.652	 4.598	     ~	 4.44 	A1III                 
374 	* 52 Her                 	a2*	252.30924256 +45.98332279  	     ~	 4.914	 4.823	     ~	     ~	A1VpSiSrCr            
375 	* 20 Cet                 	*  	013.25206051 -01.14425880  	 8.24 	 6.34 	 4.76 	 3.55 	 2.64 	K5III                 
376 	* 46 Cet                 	*  	021.40514653 -14.59879638  	     ~	 6.157	 4.918	     ~	     ~	K2III                 
377 	HD 66141                 	*  	120.56640246 +02.33457005  	 6.91 	 5.63 	 4.38 	 3.39 	 2.72 	K2III                 
378 	* gam Hya                	PM*	199.73040494 -23.17151428  	 4.58 	 3.92 	 3.00 	 2.40 	 1.93 	G8III                 
379 	* tau PsA                	PM*	332.53658532 -32.54840799  	     ~	 5.40 	 4.92 	     ~	     ~	F6V                   
380 	* eps CrA                	WU*	284.68073808 -37.10735737  	     ~	 5.19 	 4.83 	 4.9  	     ~	F4VFe-0.8+            
381 	HR 244                   	*  	013.26748341 +61.12397070  	 5.43 	 5.34 	 4.80 	 4.32 	 4.02 	F9V                   
382 	* alf Aql                	dS*	297.69582730 +08.86832120  	 1.07 	 0.98 	 0.76 	 0.62 	 0.49 	A7Vn                  
383 	* lam Sgr                	*  	276.99266967 -25.42169850  	 4.75 	 3.85 	 2.81 	 2.06 	 1.50 	K0IV                  
384 	* del Ser B              	*i*	233.700592 +10.538622      	     ~	 4.06 	 3.80 	     ~	     ~	F0IV                  
385 	* 60 Her                 	*  	256.34454255 +12.74082488  	     ~	 5.015	 4.882	     ~	     ~	A3V                   
386 	* bet Tri                	SB*	032.38594634 +34.98729706  	 3.26 	 3.14 	 3.00 	 2.86 	 2.78 	A5III                 
387 	* eta Eri                	PM*	044.10687285 -08.89814503  	 5.97 	 4.99 	 3.87 	 3.08 	 2.50 	K1+IIIb               
388 	* alf Sex                	*  	151.984529 -00.371653      	     ~	 4.45 	 4.49 	     ~	     ~	A0III                 
389 	* tet Per                	PM*	041.04994601 +49.22844754  	 4.62 	 4.62 	 4.11 	 3.67 	 3.37 	F8V                   
390 	* iot Lep                	** 	078.07459127 -11.86921841  	 3.95 	 4.35 	 4.45 	     ~	     ~	B7.5Vn                
391 	* gam Her                	** 	245.48006002 +19.15312827  	 4.22 	 4.03 	 3.76 	 3.47 	 3.33 	A9IIIbn               
392 	* ksi Peg                	PM*	341.67325490 +12.17288485  	 4.66 	 4.69 	 4.20 	 3.73 	 3.42 	F6V                   
393 	* zet UMi                	V* 	236.01466214 +77.79449412  	     ~	 4.329	 4.283	     ~	     ~	A3Vn                  
394 	* iot Dra                	V* 	231.23239428 +58.96606512  	 5.68 	 4.45 	 3.29 	 2.51 	 1.91 	K2III                 
395 	* del Per                	Be*	055.73126774 +47.78754851  	 2.38 	 2.89 	 3.01 	 2.99 	 3.10 	B5III                 
396 	* alf Scl                	Ro*	014.65149710 -29.35745131  	 3.52 	 4.09 	 4.27 	 4.30 	 4.43 	B7IIIp                
397 	* 32 Ori                 	** 	082.69604545 +05.94813679  	 3.51 	 4.07 	 4.20 	 4.26 	 4.40 	B5V                   
398 	* 66 Oph                 	Be*	270.06582603 +04.36861564  	 3.77 	 4.58 	 4.60 	 4.47 	 4.49 	B2Ve                  
399 	* ksi Cyg                	Pe*	316.23275955 +43.92785124  	 7.17 	 5.39 	 3.73 	 2.55 	 1.63 	K4.5Ib-II             
400 	* zet CrB A              	*  	234.84450 +36.63583        	     ~	     ~	 4.96 	     ~	     ~	~                     
401 	IC 4665                  	OpC	266.5750 +05.7167          	     ~	 4.49 	 4.2  	     ~	     ~	~                     
402 	* mu. Sgr                	Al*	273.44087017 -21.05883169  	 3.60 	 4.07 	 3.85 	 3.58 	 3.38 	B2(III)               
403 	* tet And                	** 	004.27291187 +38.68163617  	 4.72 	 4.67 	 4.61 	 4.53 	 4.52 	A2V                   
404 	* lam UMa                	PM*	154.27409528 +42.91435577  	 3.54 	 3.48 	 3.45 	 3.37 	 3.38 	A1IV                  
405 	* alf02 CVn              	a2*	194.00694257 +38.31837614  	 2.44 	 2.76 	 2.88 	 2.98 	 3.05 	A0VpSiEu              
406 	* ups Psc                	*  	019.86663703 +27.26405987  	     ~	 4.800	 4.752	     ~	     ~	A3V                   
407 	* pi.04 Ori              	SB*	072.80151967 +05.60510342  	 2.700	 3.500	 3.680	 3.74 	 3.90 	B2III                 
408 	* eta And                	SB*	014.30166743 +23.41764878  	 6.05 	 5.36 	 4.42 	 3.69 	 3.21 	G8IV+G8IV-III         
409 	* bet Boo                	Fl*	225.48650991 +40.39056683  	 5.21 	 4.47 	 3.52 	 2.85 	 2.37 	G8IIIa_Ba0.5          
410 	* ups Tau                	dS*	066.57693198 +22.81358014  	     ~	 4.545	 4.293	     ~	     ~	A8Vn                  
411 	* tet Hya                	SB*	138.59108361 +02.31426199  	     ~	 3.82 	 3.88 	 3.9  	 4.0  	B9.5V+DA1.6           
412 	* alf Cas                	PM*	010.12683778 +56.53733116  	 4.52 	 3.40 	 2.23 	 1.45 	 0.85 	K0IIIa                
413 	* 7 Com                  	*iC	184.08557629 +23.94540833  	     ~	 5.81 	 4.86 	     ~	     ~	G8III                 
414 	* 55 Peg                 	V* 	346.75108186 +09.40949174  	 8.020	 6.080	 4.520	 3.25 	 2.23 	M1III                 
415 	* 20 Mon                 	PM*	107.55700687 -04.23710724  	 6.73 	 5.95 	 4.92 	 4.13 	 3.61 	K0III                 
416 	HR 4126                  	*  	158.77283389 +75.71294706  	     ~	 5.801	 4.857	     ~	     ~	K0III                 
417 	* gam Dra                	*  	269.15154118 +51.48889562  	 5.630	 3.760	 2.230	 1.08 	 0.23 	K5III                 
418 	* psi07 Aur              	*  	102.69143043 +41.78122964  	     ~	 6.260	 4.988	     ~	     ~	K3III                 
419 	* mu. Cet                	dS*	041.23558742 +10.11414136  	     ~	 4.58 	 4.20 	 4.1  	 4.0  	A9IIIp                
420 	[BAB2009] G              	PoG	116.725917 +39.021736      	     ~	 0.636	 0.808	 0.908	     ~	~                     
421 	* eta Her                	*  	250.72402122 +38.92225357  	 5.03 	 4.42 	 3.50 	 2.83 	 2.35 	G7.5IIIb              
422 	* phi Dra                	a2*	275.18930101 +71.33781941  	     ~	 4.12 	 4.22 	     ~	     ~	B8V                   
423 	V* del Ser               	dS*	233.70058 +10.53908        	     ~	 4.06 	 3.80 	     ~	     ~	F0IV                  
424 	* ksi Cep A              	SB*	330.947717 +64.627978      	     ~	 4.81 	 4.45 	 5.66 	     ~	kA2.5hF2mF2(IV)       
425 	* eps Boo                	** 	221.24673940 +27.07422497  	     ~	 3.36 	 2.39 	     ~	     ~	A0                    
