316.7302660185276,+38.7420440332956,7.4,6.03,4.86
318.69788551,+38.04531782,4.12,3.73,3.38
316.7247482895925,+38.7494173194369,6.39,5.21,4.19
319.3539685017,+39.3946813328,4.37,4.24,4.06
324.2373967167000,+40.4135256300500,5.22,5.035,~
325.5956619721,+41.0770204597,5.777,5.726,~
337.6219168554,+43.1233767875,4.4,4.511,~
340.1285783617,+44.2763067336,5.79,4.46,3.54
346.9136133422700,+46.3872306074500,6.702,5.294,~
356.5085293096100,+46.4202740163600,6.064,4.966,~
354.3910115836791,+46.4581513114192,4.84,3.82,3.04
002.5801941408,+46.0722722236,5.44,5.04,4.62
010.8669570112600,+47.0245457774600,5.12,4.949,~
020.5850836482100,+45.5287767357900,5.951,4.868,~
017.0035527547300,+43.9420903799500,~,~,4.9
021.9140863146646,+45.4066847576183,5.25,4.83,4.42
024.8374523883700,+44.3861749765200,5.886,5.008,~
030.9781584547900,+42.3309114220800,5.02,5.82,~
030.97480121,+42.32972842,3.3,2.1,1.16
042.6460824479,+38.3186411175,4.57,~,4
043.42755351,+38.33748699,5.742,5.343,~
325.0462918166400,+43.2738377488500,6.682,5.086,~
335.2564469371,+46.5365683569,4.431,4.54,~
337.3825937742,+47.7068868631,6.05,4.37,2.98
348.1375158304,+49.4062070853,4.81,4.52,4.23
349.4360302737600,+49.0153008141400,6.53,4.86,3.4
349.8741989174300,+48.6253230796400,6.453,5.44,~
346.9390981254900,+49.2957751240400,6.14,~,5.4
354.7847152248800,+50.4717326487800,5.24,5.35,~
011.1813277708,+48.2843648814,4.44,4.5,4.45
011.1091314641900,+47.8639841342800,5.52,5.648,~
017.37552340,+47.24179429,4.18,4.25,4.22
022.5254229597800,+47.0072725344400,6.261,5.261,~
033.3055091634783,+44.2316466494814,6.32,4.826,~
040.5621440309600,+40.1939504812500,5.51,4.92,4.42
044.6902923413800,+39.6627265502000,4.76,4.7,4.6
046.29414106,+38.84027619,5.04,3.39,1.59
314.2934127850,+41.1671386414,3.96,3.94,3.89
316.2327595458,+43.9278512389,5.39,3.73,2.55
319.6132759246900,+43.9459442077400,4.99,5,~
322.3622906933300,+46.5405855474900,6.188,5.217,~
323.4952210208758,+45.5918389042942,4.91,4.02,3.31
337.8229221208,+50.2824911667,3.78,3.77,3.77
336.1291312202000,+49.4763918290700,4.67,4.58,4.45
339.3434052733,+51.5451217614,4.87,4.63,4.41
346.0457612009799,+50.0520904235800,5.71,~,4
012.2084228956400,+50.9681651272100,4.789,4.891,~
010.5162175316100,+50.5125334455400,4.71,4.81,4.82
024.4981541358,+48.6282137592,4.85,3.57,2.61
029.6396081751900,+49.2043529334200,6.706,5.702,~
034.8199871981980,+47.3799758983489,5.31,5.31,~
041.0215001156600,+44.2970392809300,6.32,5.435,~
047.8224233704,+39.6115837217,5.728,4.607,~
047.0422185563,+40.9556466703,2.07,2.12,2.08
305.5570909821,+40.2566791564,2.9,2.23,1.74
312.5205485548600,+44.0593032108400,~,~,4.9
313.3114792825,+44.3872613478,4.63,4.77,4.84
315.2955322722800,+46.1557764418600,5.226,5.432,~
326.6983679908,+49.3095697489,4.11,4.18,~
335.8900989442,+52.2290457375,5.46,4.44,3.67
009.2428507775,+53.8969075864,3.47,3.66,3.74
017.0679289393637,+54.9201558892397,5.86,5.17,4.55
028.0390512861400,+50.7927928087800,5.623,5.689,~
033.4014298184971,+51.0657799862975,6.24,~,4.7
036.4059290671700,+50.2786287040900,6.249,4.71,~
035.2425064303700,+50.1514958956100,5.46,5.59,~
036.1038166422500,+50.0065433325100,6.17,5.19,~
047.3741818335442,+44.8574582857297,4.79,3.81,3.07
049.4473041754800,+44.0250227514300,5.409,5.476,~
050.3606615005000,+43.3296508679400,5.006,4.946,~
310.35797975,+45.28033881,1.34,1.25,1.14
312.2345483006000,+46.1141343458400,5.28,4.86,4.41
