 #  	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	      spec. type      
----	-------------------------	---	---------------------------	------	------	------	------	------	----------------------
51  	* bet Phe A              	*  	016.521229 -46.718500      	     ~	 5.13 	 4.10 	     ~	     ~	~                     
52  	* bet01 Sgr              	*  	290.65957375 -44.45895715  	 3.52 	 3.91 	 4.01 	     ~	     ~	B9V                   
53  	* iot01 Sco              	s*y	266.89617137 -40.12699704  	     ~	 3.485	 3.020	     ~	     ~	F2Ia                  
54  	* nu.02 Dra              	SB*	263.06676933 +55.17295844  	     ~	 5.139	 4.865	 4.7  	 4.5  	kA4hF2VmF3            
55  	* ups01 Cas              	PM*	013.75064678 +58.97269745  	     ~	 6.060	 4.829	     ~	     ~	K2III                 
56  	* alf Hor                	PM*	063.50047686 -42.29436756  	 5.97 	 4.96 	 3.86 	 3.00 	 2.41 	K2III                 
57  	* alf And                	a2*	002.09691619 +29.09043112  	 1.48 	 1.95 	 2.06 	 2.09 	 2.19 	B8IV-VHgMn            
58  	* pi.02 Cyg              	SB*	326.69836799 +49.30956975  	 3.4  	 4.11 	 4.18 	     ~	     ~	B3III                 
59  	* kap Pav                	WV*	284.23761617 -67.23349530  	     ~	 5.08 	 4.40 	     ~	     ~	G5Iab/b               
60  	* tau Peg                	dS*	350.15934117 +23.74033605  	     ~	 4.756	 4.592	     ~	     ~	A5Vp_lB               
61  	* sig Ser                	PM*	245.51811472 +01.02904261  	     ~	 5.137	 4.820	 4.6  	 4.5  	A9Ib/II               
62  	* iot CMa                	bC*	104.03426719 -17.05424097  	 3.62 	 4.312	 4.385	     ~	     ~	B3Ib/II               
63  	* zet Sct                	SB*	275.91492955 -08.93438570  	     ~	 5.618	 4.673	     ~	     ~	K0III                 
64  	* eps Ori                	s*b	084.05338894 -01.20191914  	 0.48 	 1.51 	 1.69 	 1.76 	 1.93 	B0Ia                  
65  	* 27 Lyn                 	PM*	122.11435967 +51.50666818  	     ~	 4.833	 4.802	     ~	 4.71 	A2V                   
66  	* alf Cnc                	PM*	134.62176132 +11.85770033  	     ~	 4.401	 4.259	     ~	 4.13 	kA7VmF0/2III/IVSr     
67  	* eps Crv                	V* 	182.53116909 -22.61976722  	 5.79 	 4.32 	 2.98 	 2.05 	 1.41 	K2III                 
68  	GES J12394825-6035189    	*  	189.9511019 -60.5885857    	 0.000	 0.000	 0.000	     ~	 0.000	~                     
69  	* gam Hyi                	V* 	056.80975258 -74.23896350  	 6.87 	 4.88 	 3.26 	 1.92 	 0.82 	M1III                 
70  	* 37 Com                 	RS*	195.06862589 +30.78501976  	     ~	 6.02 	 4.88 	 4.9  	     ~	G8Ib-II               
71  	* zet Cnc                	** 	123.05296 +17.64814        	     ~	 5.20 	 4.67 	 4.9  	 4.7  	F8V+G0V               
72  	* gam And                	** 	030.97480121 +42.32972842  	     ~	 3.30 	 2.10 	     ~	     ~	K3II+B9.5V+A0V        
73  	* eps UMa                	a2*	193.50728997 +55.95982296  	 1.76 	 1.75 	 1.77 	 1.79 	 1.82 	A1III-IVpkB9          
74  	* ups Aur                	V* 	087.76015518 +37.30557126  	 8.29 	 6.36 	 4.74 	 3.38 	 2.31 	M0III                 
75  	* ome Car                	Be*	153.43423914 -70.03790453  	 2.92 	 3.25 	 3.33 	 3.29 	 3.32 	B8IIIe                
76  	* nu. Cet                	*  	038.96863913 +05.59324718  	     ~	 5.739	 4.880	     ~	     ~	G8III                 
77  	SN 2009jb                	SN*	260.92379 +30.49739        	     ~	 1.05 	 1.07 	18.5  	     ~	SN.Ia                 
78  	* nu. Oph                	*  	269.75663297 -09.77363329  	 5.20 	 4.33 	 3.34 	 2.64 	 2.16 	K1III                 
79  	* J Pup                  	*  	118.32565800 -48.10293435  	 3.11 	 4.10 	 4.24 	 4.26 	 4.38 	B0.5Ib                
80  	* m Car                  	V* 	144.83749785 -61.32806019  	     ~	 4.454	 4.508	     ~	     ~	B9IV/V                
81  	* bet Sge                	*  	295.26224613 +17.47604244  	 6.33 	 5.43 	 4.38 	 3.66 	 3.16 	G8IIIa                
82  	HD 20468                 	*  	049.68260764 +34.22265204  	 7.86 	 6.31 	 4.82 	 3.75 	 2.99 	K2IIb_CN0.5           
83  	* 40 Leo                 	dS*	154.93402865 +19.47091509  	     ~	 5.24 	 4.80 	 4.5  	 4.3  	F6IV-V                
84  	* 3 Cen A                	*  	207.956571 -32.994069      	     ~	 4.377	 4.520	     ~	     ~	~                     
85  	* del Del                	dS*	310.86472243 +15.07457702  	     ~	 4.707	 4.434	     ~	     ~	kA7hF0mF0(IV-V)       
86  	* 7 And                  	*  	348.13751583 +49.40620708  	 4.85 	 4.81 	 4.52 	 4.23 	 4.07 	F1V                   
87  	* pi. Pup Aa             	*  	109.285650 -37.097472      	     ~	 4.97 	 2.89 	     ~	     ~	K3Ib                  
88  	* ups Leo                	*  	174.237212 -00.823747      	 6.05 	 5.31 	 4.30 	 3.58 	 3.06 	K0III                 
89  	* iot02 Sco              	*  	267.54630381 -40.09043414  	 5.26 	 5.035	 4.814	     ~	     ~	A2Ib                  
90  	* q Pup                  	*  	124.63880414 -36.65928864  	 4.75 	 4.68 	 4.40 	 4.24 	 4.11 	A8V                   
91  	* alf Tau                	LP?	068.98016279 +16.50930235  	 4.32 	 2.40 	 0.86 	-0.37 	-1.31 	K5III                 
92  	* bet Pyx                	*  	130.02559846 -35.30835143  	     ~	 4.881	 3.972	     ~	     ~	G5II/III              
93  	* gam01 Vel              	SB*	122.3721917 -47.3452853    	     ~	 4.005	 4.200	     ~	     ~	B2III                 
94  	* lam Lyr                	V* 	285.00344031 +32.14551465  	     ~	 6.436	 4.951	     ~	     ~	K2.5III               
95  	* zet Cyg                	SB*	318.23410806 +30.22691546  	 4.96 	 4.20 	 3.21 	 2.52 	 2.04 	G8IIIp+DA4.2          
96  	HR 3220                  	BS*	122.25281601 -61.30242754  	     ~	 5.19 	 4.76 	     ~	     ~	F6VFe-0.8CH-0.4       
97  	* r Pup                  	Be*	123.37298832 -35.89951839  	 3.68 	 4.66 	 4.77 	 4.68 	 4.77 	B2ne                  
98  	* 89 Vir                 	*  	207.46784715 -18.13416794  	     ~	 6.019	 4.970	     ~	     ~	K0III                 
99  	* del Nor                	*  	241.62265382 -45.17318106  	     ~	 4.954	 4.726	     ~	     ~	kA3hA7mF0III:         
100 	V* FH Ser                	No*	277.69600 +02.61444        	     ~	13.000	 4.39 	16.000	     ~	~                     
101 	* bet Dra                	*  	262.60817373 +52.30138871  	 4.43 	 3.79 	 2.81 	 2.12 	 1.64 	G2Ib-IIa              
102 	* alf Crv                	PM*	182.10340218 -24.72887510  	     ~	 4.34 	 4.00 	     ~	     ~	F1V                   
103 	GES J12395628-6033438    	*  	189.9845185 -60.5621900    	 0.000	 0.000	 0.000	     ~	 0.000	~                     
104 	* 15 CMa                 	bC*	103.38711328 -20.22425492  	 3.66 	 4.62 	 4.83 	 4.95 	 5.17 	B1Ib                  
105 	* gam Cet                	** 	040.82516290 +03.23581638  	 3.63 	 3.56 	 3.47 	 3.36 	 3.32 	A2Vn+F4V              
106 	* del UMi                	** 	263.05415296 +86.58646066  	     ~	 4.382	 4.348	     ~	     ~	A1Van                 
107 	HR 3751                  	SB*	144.27203241 +81.32638087  	     ~	 5.790	 4.272	     ~	     ~	K3III+DA2.8           
108 	* b02 Cyg                	Be*	302.35674659 +36.83962215  	 4.03 	 4.80 	 4.93 	     ~	     ~	B2.5Ve                
109 	* 56 Peg                 	SB*	346.77807952 +25.46825914  	 7.20 	 6.06 	 4.74 	 3.74 	 3.07 	K1IV(e)+DA1           
110 	* del For                	*  	055.56209365 -31.93836263  	 4.24 	 4.825	 4.970	     ~	     ~	B5III                 
111 	* nu. Per                	RR*	056.29846681 +42.57855080  	 4.50 	 4.22 	 3.80 	 3.40 	 3.13 	F4II                  
112 	TYC 6744-1753-1          	** 	217.043488 -29.491658      	 4.49 	 4.892	 4.972	     ~	     ~	B8V                   
113 	* mu. Gem                	LP*	095.74011193 +22.51358275  	 6.37 	 4.51 	 2.87 	 1.30 	-0.08 	M3IIIab               
114 	* sig Ara                	*  	263.91495653 -46.50568382  	 4.47 	 4.56 	 4.59 	 4.60 	 4.65 	A0V                   
115 	* nu. Cep                	Pu*	326.36218658 +61.12080553  	 4.94 	 4.81 	 4.29 	 3.79 	 3.35 	A2Iab:                
116 	* bet Cep                	bC*	322.16498688 +70.56071519  	 2.05 	 3.01 	 3.23 	 3.33 	 3.55 	B0.5IIIs              
117 	* 32 Eri A               	*  	058.572787 -02.954039      	     ~	 5.73 	 4.79 	 4.7  	     ~	G8III                 
118 	* H Sco                  	V* 	249.09363300 -35.25532785  	     ~	 5.776	 4.184	     ~	     ~	K5III                 
119 	* mu. Leo                	PM*	148.19090227 +26.00695330  	 6.50 	 5.10 	 3.88 	 2.97 	 2.39 	K2IIIb_CN1_Ca1        
120 	CCDM J16272-4733AB       	** 	246.79671 -47.55514        	     ~	 7.5  	 4.8  	     ~	     ~	B:...                 
121 	* 31 Peg                 	Be*	335.37947961 +12.20518412  	 4.08 	 4.89 	 4.99 	 5.06 	 5.20 	B2IV-Ve               
122 	* eta Nor                	*  	240.80374095 -49.22969863  	     ~	 5.560	 4.648	     ~	     ~	G8III                 
123 	* alf02 Lib              	SB*	222.71963789 -16.04177652  	 2.99 	 2.90 	 2.75 	 2.61 	 2.57 	kA2hA5mA4IV-V         
124 	* iot Boo                	dS*	214.04137480 +51.36722965  	 5.01 	 4.95 	 4.75 	 4.60 	 4.51 	A7V                   
