C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
44  ;* omi Cas                          ;011.1813277708 +48.2843648814      ;    18.84 -7.18     ;4.64      ;-16.9       ;4.50     
45  ;* 68 Cas                           ;011.1091314641900 +47.8639841342800;  -39.855 8.455     ;4.453     ;-66.00      ;5.648    
46  ;* phi And                          ;017.37552340 +47.24179429          ;    4.05 -12.43     ;4.55      ;-2.20       ;4.25     
47  ;* phi And A                        ;017.375508600 +47.241796589        ;      0.0 -10.8     ;      ~   ;~           ;4.294    
48  ;* phi And B                        ;017.375635800 +47.241729661        ;      0.0 -10.8     ;      ~   ;~           ;5.62     
49  ;* 49 And                           ;022.5254229597800 +47.0072725344400; -0.950 -42.638     ;9.7947    ;-11.48      ;5.261    
50  ;* b And                            ;033.3055091634783 +44.2316466494814;  -20.90 -14.46     ;5.2634    ;-48.00      ;4.826    
51  ;* 12 Per                           ;040.5621440309600 +40.1939504812500;-18.669 -186.190    ;41.7962   ;-23.04      ;4.92     
52  ;* pi. Per                          ;044.6902923413800 +39.6627265502000; 25.048 -41.522     ;10.4437   ;14.2        ;4.70     
53  ;* rho Per                          ;046.29414106 +38.84027619          ; 129.22 -105.70     ;10.60     ;30.81       ;3.39     
54  ;* nu. Cyg                          ;314.2934127850 +41.1671386414      ;    9.64 -22.75     ;8.71      ;-27.60      ;3.94     
55  ;* ksi Cyg                          ;316.2327595458 +43.9278512389      ;      7.97 0.06     ;3.87      ;-19.10      ;3.73     
56  ;* 68 Cyg                           ;319.6132759246900 +43.9459442077400;   4.632 -8.487     ;1.4498    ;1.0         ;5.00     
57  ;* g Cyg                            ;322.3622906933300 +46.5405855474900; 43.166 104.326     ;15.2865   ;-21.54      ;5.217    
58  ;* rho Cyg                          ;323.4952210208758 +45.5918389042942;-24.341 -93.511     ;25.9359   ;6.88        ;4.02     
59  ;V* W Cyg                           ;324.0104007925 +45.3745914361      ;     65.17 1.74     ;5.72      ;-12.87      ;5.38     
60  ;* alf Lac                          ;337.8229221208 +50.2824911667      ;   137.51 17.01     ;31.79     ;-4.50       ;3.77     
61  ;* 4 Lac                            ;336.1291312202000 +49.4763918290700;  -5.274 -3.303     ;1.2656    ;-26.00      ;4.58     
62  ;* 9 Lac                            ;339.3434052733 +51.5451217614      ; -51.83 -103.80     ;19.00     ;10.10       ;4.63     
63  ;V* V424 Lac                        ;344.1083266254200 +49.7335440800900;  -0.649 -2.768     ;1.4018    ;-10.37      ;4.94     
64  ;V* R Cas                           ;359.6036178271000 +51.3888091748300;  82.847 17.485     ;5.7423    ;-22.94      ;4.80     
65  ;HD 2054                            ;006.2767104011700 +53.0467818866700;  22.171 -4.328     ;5.0585    ;3.40        ;5.719    
66  ;HD 1976                            ;006.0652250149900 +52.0199175578900;  15.504 -4.061     ;2.4621    ;-9.70       ;5.580    
67  ;HD 2774                            ;007.9214883204900 +52.8395280985300;-55.313 -12.798     ;9.6922    ;-51.52      ;5.596    
68  ;* nu. Cas                          ;012.2084228956400 +50.9681651272100;  29.453 -8.152     ;9.1537    ;9.00        ;4.891    
69  ;* ksi Cas                          ;010.5162175316100 +50.5125334455400;  16.126 -6.050     ;2.9022    ;-10.0       ;4.81     
70  ;* ups Per                          ;024.4981541358 +48.6282137592      ;  61.95 -112.15     ;18.41     ;16.264      ;3.57     
71  ;* 3 Per                            ;029.6396081751900 +49.2043529334200;   7.051 41.686     ;12.694    ;-0.44       ;5.702    
72  ;HD 11031                           ;027.31476233 +47.89692296          ;  -21.08 -11.68     ;7.84      ;-2.40       ;5.82     
73  ;* c And                            ;034.8199871981980 +47.3799758983489;   -60.03 -5.61     ;11.9531   ;-29.6       ;5.310    
74  ;* 14 Per                           ;041.0215001156600 +44.2970392809300;   2.314 -6.229     ;2.3511    ;-1.22       ;5.435    
75  ;HD 18482                           ;044.9161609297500 +41.0329403655000; 14.723 -46.981     ;4.5764    ;32.80       ;5.877    
76  ;* ome Per                          ;047.8224233704 +39.6115837217      ;    -26.26 5.40     ;11.32     ;6.87        ;4.607    
77  ;* bet Per                          ;047.0422185563 +40.9556466703      ;     2.99 -1.66     ;36.27     ;4.0         ;2.12     
78  ;HD 20346                           ;049.4406437918100 +39.2833726941100; 23.198 -17.076     ;6.1804    ;27.0        ;5.967    
79  ;* gam Cyg                          ;305.5570909821 +40.2566791564      ;     2.39 -0.91     ;1.78      ;-5.906      ;2.23     
80  ;HD 194193                          ;305.6887317038100 +41.0260125399400;  0.476 -49.012     ;3.3097    ;2.25        ;5.93     
81  ;HD 197392                          ;310.4854227610299 +41.7168744841700;    4.485 1.216     ;2.7093    ;-27.0       ;5.664    
82  ;HD 197139                          ;310.0131633595800 +43.4588776035900;-70.376 -57.133     ;6.5338    ;-23.99      ;5.965    
83  ;* 57 Cyg                           ;313.3114792825 +44.3872613478      ;    11.94 -2.08     ;6.21      ;-19.5       ;4.77     
84  ;* 60 Cyg                           ;315.2955322722800 +46.1557764418600;    7.724 1.656     ;2.6621    ;-11.60      ;5.432    
85  ;HD 199098                          ;313.3273714659600 +45.1816807844100;   9.364 -4.213     ;3.67      ;-24.08      ;5.462    
86  ;HD 199870                          ;314.5811099212300 +44.4717058056300; 100.706 71.526     ;14.495    ;-28.70      ;5.547    
87  ;HD 199579                          ;314.1449079429499 +44.9247224699800;   0.464 -2.129     ;1.1507    ;-6.40       ;5.96     
88  ;HD 204411                          ;321.7150914122000 +48.8351666129400;  58.696 25.457     ;8.3796    ;-13.70      ;5.31     
89  ;HD 204153                          ;321.3314535671100 +46.7143413231600; 188.777 48.142     ;29.3328   ;0.00        ;5.580    
90  ;HD 205314                          ;323.2358001442000 +49.9776329105500;  17.757 10.803     ;6.9818    ;-25.00      ;5.755    
91  ;* pi.02 Cyg                        ;326.6983679908 +49.3095697489      ;     2.77 -2.00     ;2.95      ;-12.3       ;4.18     
92  ;HD 210715                          ;332.7912233141200 +50.8234151071700; 142.430 35.646     ;17.885    ;-10.70      ;5.377    
93  ;* bet Lac                          ;335.8900989442 +52.2290457375      ; -13.25 -186.77     ;19.19     ;-11.42      ;4.44     
94  ;HD 214878                          ;340.0766957823500 +53.8459266949500;  6.187 -18.724     ;9.4485    ;-6.10       ;5.920    
95  ;V* V1022 Cas                       ;359.2853002527400 +55.7057053734500;-20.899 -12.336     ;15.7172   ;10.30       ;5.561    
96  ;HD 4222                            ;011.3215568845800 +55.2213974994700; -29.935 -5.616     ;9.2342    ;-8.5        ;5.410    
97  ;HD 3240                            ;009.0346258154600 +54.1684499099100;  22.954 -1.905     ;6.6398    ;1.1         ;5.076    
98  ;* zet Cas                          ;009.2428507775 +53.8969075864      ;    17.38 -9.86     ;5.50      ;-0.20       ;3.66     
99  ;HD 2952                            ;008.2933103859200 +54.8949860066300; 70.291 -39.095     ;9.1205    ;-34.86      ;5.922    
100 ;* lam Cas A                        ;007.942986400 +54.522311900        ;            ~ ~     ;      ~   ;~           ;5.35     
101 ;HD 6211                            ;016.0099605179100 +52.5021618445100;  1.014 -60.625     ;5.0346    ;-7.0        ;5.977    
102 ;* mu. Cas                          ;017.0679289393637 +54.9201558892397;3468.251 -1564.844  ;130.2881  ;-98.10      ;5.17     
103 ;HD 11151                           ;027.7380338704300 +51.9334176960400;41.880 -114.965     ;22.7021   ;-16.42      ;5.951    
104 ;* 2 Per                            ;028.0390512861400 +50.7927928087800; 17.532 -29.090     ;6.8219    ;11.40       ;5.689    
105 ;* 65 And                           ;036.4059290671700 +50.2786287040900; 24.289 -14.483     ;7.6317    ;-4.93       ;4.710    
106 ;* 63 And                           ;035.2425064303700 +50.1514958956100; 39.818 -31.607     ;8.5275    ;-0.30       ;5.59     
107 ;* 64 And                           ;036.1038166422500 +50.0065433325100; 24.574 -35.977     ;8.0682    ;-13.34      ;5.19     
108 ;HD 17656                           ;042.9238747059000 +46.8419417559800;-26.247 -24.784     ;8.4081    ;-11.71      ;5.859    
109 ;* kap Per                          ;047.3741818335442 +44.8574582857297;165.691 -138.559    ;28.7314   ;29.40       ;3.81     
110 ;* 30 Per                           ;049.4473041754800 +44.0250227514300; 27.233 -24.503     ;4.9025    ;4.00        ;5.476    
111 ;* l Per                            ;050.3606615005000 +43.3296508679400; -61.008 -0.964     ;20.9522   ;-9.00       ;4.946    
112 ;V* IW Per                          ;053.3959754849200 +39.8994768417000; 15.466 -46.526     ;17.7106   ;11.44       ;5.776    
113 ;HD 193322A                         ;304.5291158557200 +40.7320838372500;  -2.488 -6.837     ;1.0669    ;~           ;5.958    
114 ;HD 193092                          ;304.2303570782400 +40.3650759034500;   2.245 -2.139     ;1.7177    ;-20.09      ;5.236    
115 ;HD 193322                          ;304.52911749 +40.73208337          ;    -2.33 -6.16     ;1.68      ;-8.40       ;5.84     
116 ;* alf Cyg                          ;310.35797975 +45.28033881          ;      2.01 1.85     ;2.31      ;-4.90       ;1.25     
117 ;HD 198345                          ;311.9553603121700 +47.8318680444600; -8.721 -18.283     ;5.7977    ;-32.35      ;5.586    
118 ;* 55 Cyg                           ;312.2345483006000 +46.1141343458400;  -2.233 -2.516     ;0.5435    ;-7.2        ;4.86     
119 ;HD 199612                          ;314.1078980361900 +49.1958311935900;  14.134 12.940     ;3.3383    ;-26.53      ;5.913    
120 ;* f02 Cyg                          ;316.6503908975 +47.6484025083      ;     6.53 -1.41     ;3.16      ;-26.32      ;4.514    
121 ;* f01 Cyg                          ;314.9564755197900 +47.5209343740100;    7.857 4.065     ;1.4681    ;1.40        ;4.75     
122 ;HD 199478                          ;313.9575165538200 +47.4176566926300;  -2.199 -4.095     ;0.3915    ;-15.00      ;5.64     
123 ;HD 203245                          ;319.8697935198300 +49.5102945328600;   14.398 2.137     ;5.8906    ;-23.00      ;5.74     
124 ;HD 203644                          ;320.5017422959800 +49.3888472492100;  37.404 61.142     ;10.4924   ;-4.33       ;5.671    
125 ;* pi.01 Cyg                        ;325.5236024242 +51.1896226439      ;     5.29 -1.78     ;1.89      ;-8.20       ;4.66     
126 ;HD 209419                          ;330.4607777698700 +52.8822500401000;   10.376 2.152     ;2.9856    ;-22.0       ;5.776    
