C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST09:29:02

Vmag < 6
--------

Number of objects : 5156

 #  ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
1320;HD 41841                           ;091.6337349324800 -23.1108483724800;-11.298 -25.756     ;6.5957    ;-14.6       ;5.460    
1321;HD 42443                           ;092.4498121766100 -22.7743398045100;  99.422 56.004     ;22.0465   ;24.00       ;5.717    
1322;HD 41312                           ;090.8150152797600 -26.2845427972200;  65.321 85.599     ;7.7812    ;182.59      ;5.04     
1323;HD 42621                           ;092.6445011106100 -27.1543426747600; -9.438 -56.701     ;8.4095    ;4.47        ;5.698    
1324;HD 41843                           ;091.5230802176600 -29.7586240621300; 10.768 -41.204     ;11.7258   ;7.00        ;5.784    
1325;* 72 Col                           ;091.0844385836400 -32.1724291454400;-16.439 121.584     ;3.4702    ;93.00       ;5.631    
1326;HD 41047                           ;090.3179068671700 -33.9118355588100;  4.876 -26.178     ;4.832     ;34.61       ;5.524    
1327;HD 42054                           ;091.7652895330700 -34.3120221780900;   2.009 -0.203     ;3.4337    ;18.00       ;5.836    
1328;HD 41759                           ;091.3632441084900 -35.5136469524300;  13.493 16.172     ;11.6885   ;21.00       ;5.795    
1329;* tet Col                          ;091.8818034342700 -37.2529192305000;    0.391 0.121     ;4.1731    ;45.30       ;4.994    
1330;V* AF Col                          ;092.5433497493900 -40.3537906844700; -20.650 74.080     ;3.9737    ;18.17       ;5.58     
1331;* pi.02 Col                        ;091.9702480064100 -42.1540411907800;-10.221 -16.956     ;12.7569   ;31.00       ;5.492    
1332;HD 42471                           ;093.0838544895000 +32.6933815585000;  -7.219 -3.368     ;4.0982    ;-53.81      ;5.769    
1333;* kap Aur                          ;093.8445377567 +29.4980766786      ; -70.88 -261.42     ;18.43     ;21.09       ;4.35     
1334;* 5 Gem                            ;092.8846063147800 +24.4202530867900;  0.373 -51.616     ;6.1988    ;11.93       ;5.825    
1335;* eta Gem                          ;093.7193553605537 +22.5067873271708; -59.530 -7.766     ;4.7312    ;22.39       ;3.28     
1336;C 0615+236                         ;094.5000 +23.6333                  ;     0.42 -2.15     ;      ~   ;26.2        ;5.7      
1337;* 68 Ori                           ;093.0055891510400 +19.7905415313400;  1.583 -11.582     ;3.0859    ;30.9        ;5.749    
1338;* f01 Ori                          ;093.0136647904 +16.1304059564      ;    5.49 -16.80     ;6.17      ;22.0        ;4.92     
1339;* ksi Ori                          ;092.9849872129 +14.2087654294      ;    0.29 -20.12     ;5.37      ;19.30       ;4.48     
1340;* f02 Ori                          ;093.8547015066600 +16.1431652841800;  -0.886 -9.240     ;7.758     ;23.80       ;5.327    
1341;HD 44033                           ;095.0175999092300 +14.6511295483600; -5.784 -16.459     ;4.7705    ;33.023      ;5.658    
1342;HD 43112                           ;093.7853031302700 +13.8510998015600;  25.786 11.591     ;2.5663    ;36.90       ;5.894    
1343;* 73 Ori                           ;093.9373521144600 +12.5510702737400;  -1.512 -1.430     ;2.343     ;12.90       ;5.467    
1344;* l Ori                            ;094.2775828336300 +09.9423930525800;  7.773 -60.906     ;12.1166   ;14.50       ;5.386    
1345;HD 43318                           ;093.8927713829100 -00.5121891040700;-158.274 -218.400   ;27.5211   ;-39.927     ;5.65     
1346;HD 44131                           ;094.9983358042 -02.9444934869      ;    -6.42 -1.26     ;7.02      ;48.60       ;4.899    
1347;HD 43023                           ;093.4759748086600 -03.7413710811800; -18.239 21.218     ;9.8343    ;51.78       ;5.833    
1348;HD 43157                           ;093.6529279311800 -04.5684558962500;   -6.461 1.997     ;2.8588    ;20.90       ;5.819    
1349;HD 43319                           ;093.8736379048500 -04.9147179677800; 22.895 -34.048     ;13.7806   ;29.80       ;5.998    
1350;HD 42690                           ;092.9658930688600 -06.5502834207700;  -3.231 -0.866     ;3.0734    ;28.20       ;5.040    
1351;* gam Mon                          ;093.7138902688 -06.2747744475      ;   -4.69 -19.30     ;6.55      ;-4.80       ;3.96     
1352;* 7 Mon                            ;094.9283334911900 -07.8229059182200;  -5.405 -1.416     ;2.6645    ;29.00       ;5.252    
1353;HD 43993                           ;094.7107604532800 -09.3900182303200;  3.740 -22.613     ;6.6189    ;7.1         ;5.352    
1354;HD 44458                           ;095.3529855847700 -11.7732405998900;   -2.273 1.193     ;1.8635    ;16.00       ;5.55     
1355;HD 43445                           ;093.9370261872600 -13.7184140678300; 12.120 -10.848     ;8.1556    ;37.9        ;5.001    
1356;HD 43544                           ;094.0320476337800 -16.6180065176400;   -8.343 0.832     ;3.2307    ;13.6        ;5.91     
1357;HD 43827                           ;094.4238501478500 -16.8159086758400;  -14.410 2.645     ;5.5085    ;-7.93       ;5.148    
1358;HD 43429                           ;093.8238623243300 -18.4772407349700; 47.558 -52.193     ;16.0693   ;64.59       ;5.984    
1359;HD 43955                           ;094.5572019996200 -19.9669735809100;   -6.059 7.394     ;3.4972    ;17.90       ;5.501    
1360;HD 43396                           ;093.7850101076900 -20.2721845614100;   2.118 31.064     ;4.4543    ;54.30       ;5.868    
1361;HD 44081                           ;094.7457309147000 -20.9256097543800;   -2.873 4.340     ;2.1926    ;30.9        ;5.80     
1362;* zet CMa                          ;095.0783001658 -30.0633667339      ;      7.32 4.03     ;9.00      ;32.2        ;3.00     
1363;* del Col                          ;095.5284372868000 -33.4363989475600;-22.946 -52.045     ;15.049    ;-2.6        ;3.85     
1364;HD 44323                           ;094.9206531295400 -34.3965908481600;    4.660 1.456     ;7.9508    ;26.00       ;5.749    
1365;HD 44506                           ;095.1509991286200 -34.1441435745600;   0.641 20.709     ;1.7701    ;54.00       ;5.521    
1366;* kap Col                          ;094.1380629987 -35.1405175028      ;    -0.28 87.94     ;17.87     ;23.70       ;4.37     
1367;HD 43899                           ;094.2551308044100 -37.7374459947900;   1.657 83.920     ;11.4725   ;76.62       ;5.534    
1368;HD 43940                           ;094.2898461124600 -37.2535526288700; -9.889 -23.145     ;15.9651   ;24.00       ;5.872    
1369;HD 43847                           ;094.1482834529200 -39.2643931186700;-15.051 -18.165     ;8.2575    ;-4.30       ;5.983    
1370;V* WW Aur                          ;098.1132698606000 +32.4548978969700;-26.507 -17.343     ;11.1431   ;-9.4        ;5.829    
1371;* 48 Aur                           ;097.1420312858 +30.4930317133      ;   -1.71 -15.73     ;      ~   ;20.30       ;5.55     
1372;* mu. Gem                          ;095.74011193 +22.51358275          ;  56.39 -110.03     ;14.08     ;54.38       ;2.87     
1373;* nu. Gem                          ;097.2407755592 +20.2121348956      ;   -6.82 -13.10     ;5.99      ;39.40       ;4.14     
1374;HD 46374                           ;098.4006851340000 +14.1551646987400;-13.714 -86.557     ;11.3645   ;-11.107     ;5.553    
1375;HD 46089                           ;097.9512447326300 +11.5444117666500;  16.955 27.805     ;15.3983   ;-3.2        ;5.210    
1376;* 13 Mon                           ;098.2259495923200 +07.3329696976200;  -1.698 -4.845     ;1.2159    ;11.80       ;4.50     
1377;C 0628+059                         ;097.8250 +05.9167                  ;    -3.78 -2.03     ;      ~   ;23.0        ;5.4      
1378;[SC93] 254                         ;097.8000 +06.0000                  ;            ~ ~     ;      ~   ;~           ;5.40     
1379;V* T Mon                           ;096.3041653170500 +07.0857107174700;   0.846 -3.025     ;0.7141    ;30.70       ;5.98     
1380;* eps Mon A                        ;095.9420225716300 +04.5928823613700;  -15.127 7.701     ;24.0777   ;13.10       ;4.398    
1381;* eps Mon                          ;095.9425 +04.5956                  ;            ~ ~     ;      ~   ;~           ;4.31     
1382;* 12 Mon                           ;098.0800162285700 +04.8559982737800;  -37.686 1.336     ;7.0553    ;19.91       ;5.830    
1383;HD 45415                           ;096.8352106715500 +02.9082878554300; -43.751 13.052     ;10.7647   ;52.829      ;5.543    
1384;* 77 Ori                           ;096.8073378184900 +00.2992441992800;   2.306 -8.969     ;3.8856    ;32.05       ;5.186    
1385;HD 45067                           ;096.3189428166854 -00.9458829010631;239.051 -218.350    ;30.4103   ;47.34       ;5.90     
1386;* 78 Ori                           ;096.8149635014200 -00.2760014224700;   1.625 -5.216     ;5.0387    ;38.8        ;5.538    
1387;HD 45320                           ;096.6649577101800 -01.5073330856000; -7.528 -22.443     ;13.5976   ;10.00       ;5.854    
1388;HD 46487                           ;098.4080058208500 -01.2201536769700;  1.127 -17.667     ;5.6982    ;22.00       ;5.079    
1389;* 10 Mon                           ;096.9898693796 -04.7621535781      ;    -5.78 -2.86     ;3.00      ;25.30       ;5.041    
1390;HD 46304                           ;098.0963719088800 -05.8688188910500; -0.356 -41.328     ;22.6861   ;-19.30      ;5.598    
1391;* bet Mon                          ;097.20445711 -07.03305837          ;    -6.86 -2.76     ;4.82      ;17.20       ;3.74     
1392;* bet Mon C                        ;097.2067206980900 -07.0346533471300;  -7.042 -3.342     ;4.7504    ;23.0        ;5.32     
1393;* bet Mon B                        ;097.2059275162871 -07.0344002237272;  -7.761 -2.267     ;4.8943    ;18.0        ;5.00     
1394;HD 46229                           ;097.9586008920200 -08.1582219849600;-11.893 -20.533     ;4.4027    ;2.9         ;5.411    
1395;HD 45976                           ;097.5469844642200 -10.0815126428400;  -7.240 -2.000     ;2.6741    ;18.77       ;5.909    
1396;HD 44951                           ;096.0429975458300 -11.5300876298700;-55.418 -33.324     ;8.2768    ;-26.43      ;5.207    
1397;HD 46184                           ;097.8460233976700 -12.3919749109800; 46.808 -26.099     ;8.5237    ;20.08       ;5.153    
1398;* bet CMa                          ;095.6749389696 -17.9559187089      ;    -3.23 -0.78     ;6.62      ;33.70       ;1.97     
1399;HD 45765                           ;097.1559149411500 -17.4660104829000;   16.356 9.332     ;7.27      ;17.65       ;5.761    
1400;* ksi01 CMa                        ;097.9640264908 -23.4184216917      ;     -2.91 6.22     ;2.36      ;26.90       ;4.33     
1401;HD 45018                           ;095.9829742749200 -25.5776316141600;  2.167 -38.084     ;3.8507    ;33.5        ;5.600    
1402;HD 46189                           ;097.6928529676500 -27.7695799698300;   -8.379 6.491     ;2.9719    ;27.00       ;5.903    
1403;HD 46547                           ;098.1624068371800 -32.0304426410500;   -3.464 4.692     ;1.3656    ;20.00       ;5.706    
1404;* lam CMa                          ;097.0425311337 -32.5800681911      ;   -14.41 25.21     ;7.70      ;41.00       ;4.48     
1405;HD 45871                           ;097.16351048 -32.37127735          ;     -2.94 8.22     ;3.78      ;25.9        ;5.74     
1406;HR 2388                            ;097.8045560249700 -35.2588572674400;   -3.128 9.701     ;4.5915    ;16.36       ;5.820    
1407;HD 45145                           ;096.0042078715300 -36.7077632080600; -12.462 55.032     ;10.1487   ;53.71       ;5.619    
1408;HD 46568                           ;098.0890730755900 -37.6967237021100; 73.075 -75.599     ;11.4692   ;34.16       ;5.253    
1409;* psi02 Aur                        ;099.8326134822500 +42.4888765763000; -0.576 -55.657     ;8.0927    ;16.29       ;4.82     
1410;* psi03 Aur                        ;099.7049183307700 +39.9025595276900; -7.718 -11.191     ;3.6617    ;9.00        ;5.331    
1411;* 51 Aur                           ;099.6647366193000 +39.3908511211700;-22.853 -108.763    ;6.9702    ;31.98       ;5.69     
1412;V* UU Aur                          ;099.1368212654100 +38.4455052837800;  0.500 -19.758     ;2.0387    ;14.089      ;5.25     
1413;* 49 Aur                           ;098.8002590172700 +28.0223108039300;  0.292 -13.521     ;7.4302    ;17.0        ;5.260    
1414;* 53 Aur                           ;099.5958772159500 +28.9843375377400;-16.783 -13.864     ;8.2744    ;18          ;5.744    
1415;* 28 Gem                           ;101.1894157911100 +28.9709389815200; -8.358 -27.667     ;5.5428    ;14.87       ;5.44     
1416;* eps Gem                          ;100.9830260792 +25.1311254122      ;   -5.57 -12.36     ;3.86      ;7.77        ;2.98     
1417;* 26 Gem                           ;100.6013634121 +17.6453088431      ;    7.87 -84.32     ;22.92     ;15.00       ;5.21     
1418;* gam Gem                          ;099.42796043 +16.39928043          ;   13.81 -54.96     ;29.84     ;-12.63      ;1.92     
1419;HD 47575                           ;099.9488215286200 +12.9827697938000;-13.906 -13.486     ;11.159    ;-20.00      ;5.978    
1420;* 30 Gem                           ;100.9970297819400 +13.2279999015900; -0.452 -52.279     ;10.3816   ;12.61       ;4.49     
1421;[SC93] 343                         ;099.8750 +13.1167                  ;            ~ ~     ;      ~   ;~           ;5.97     
1422;HD 46709                           ;098.8233191146600 +09.9883368308800;  -0.021 -6.966     ;2.416     ;38.06       ;5.887    
1423;* 15 Mon                           ;100.24441512 +09.89575637          ;    -2.61 -1.61     ;3.55      ;22.00       ;4.640    
1424;Cl Collinder 106                   ;099.2780 +06.0020                  ;   -1.472 0.531     ;0.635     ;28.7        ;4.6      
1425;HD 48434                           ;100.9110235765500 +03.9325303405500;  -0.326 -1.652     ;0.7433    ;34.5        ;5.90     
1426;Cl Collinder 107                   ;099.2030 +04.9720                  ;   -1.325 0.659     ;0.617     ;13.9        ;5.1      
1427;HD 46769                           ;098.8159522126800 +00.8902181017500;  -1.509 -1.372     ;1.302     ;10.2        ;5.86     
1428;HD 47964                           ;100.2726706831400 +00.4953223404400;  -8.705 -5.730     ;2.9287    ;19.70       ;5.765    
1429;HD 47054                           ;099.1472068844400 -05.2111397314200;  4.697 -15.406     ;4.3762    ;27.00       ;5.52     
1430;HD 48217                           ;100.4849385844500 -09.1675347808100; 33.052 -45.011     ;9.5111    ;0.11        ;5.194    
1431;HD 47182                           ;099.1941585581000 -13.3210212544900; -1.734 -34.131     ;4.7364    ;-11.59      ;5.939    
1432;HD 47667                           ;099.8196643045600 -14.1457618757500;   4.864 -6.656     ;3.1086    ;29.03       ;4.812    
1433;* nu.01 CMa                        ;099.0952176772600 -18.6599039851400; -13.463 18.621     ;11.5857   ;26.13       ;5.695    
1434;* nu.03 CMa                        ;099.4725890920300 -18.2374806850100;  -7.166 -8.777     ;6.7876    ;-1.09       ;4.43     
1435;* nu.02 CMa                        ;099.1709898983 -19.2558794181      ;   62.57 -69.97     ;50.63     ;2.57        ;3.91     
1436;* ksi02 CMa                        ;098.7641148024600 -22.9647954166900;  16.316 16.885     ;8.0342    ;26.00       ;4.50     
1437;HD 47946                           ;099.9277522083900 -30.4704905299500;-7.564 -191.739     ;13.4251   ;-22.94      ;5.71     
1438;HD 46936                           ;098.6472120055200 -32.7162529800000;    2.813 3.418     ;5.8754    ;28.00       ;5.610    
1439;* 10 CMa                           ;101.1186129347900 -31.0705256549500;   -3.286 4.201     ;1.6454    ;34.00       ;5.17     
1440;HD 47536                           ;099.4484087819546 -32.3397334671900; 107.755 65.122     ;7.9902    ;79.71       ;5.258    
1441;HD 46815                           ;098.4561669172600 -36.2320264084400; -15.622 99.481     ;7.9846    ;32.2        ;5.405    
1442;HD 47500                           ;099.30764622 -36.99065111          ;    -9.53 13.57     ;2.85      ;21.00       ;5.717    
1443;* nu. Pup                          ;099.4402973029 -43.1959333808      ;    -0.44 -3.87     ;8.78      ;30.90       ;3.17     
1444;* psi07 Aur                        ;102.6914303395700 +41.7812305477500;-25.542 -137.253    ;9.6073    ;59.50       ;4.975    
1445;NGC 2281                           ;102.0910 +41.0600                  ;  -2.946 -8.321     ;1.896     ;19.58       ;5.4      
1446;* tet Gem                          ;103.1972452958 +33.9612548506      ;   -1.66 -47.31     ;17.25     ;21.00       ;3.60     
1447;V* IS Gem                          ;102.4221394498100 +32.6067597106000;-36.468 -49.008     ;7.4397    ;-16.18      ;5.708    
1448;* 37 Gem                           ;103.8277764949300 +25.3756954313900; -37.595 24.234     ;57.4559   ;-14.925     ;5.748    
1449;* 87 Gem                           ;102.9999423846300 +23.6017219895700; -39.651 -8.859     ;7.2748    ;33.29       ;5.671    
1450;* d Gem                            ;102.8876932620800 +21.7611452911700; -5.719 -35.781     ;7.6158    ;34.4        ;5.259    
1451;* 33 Gem                           ;102.4576509908600 +16.2028840855600;-15.993 -10.899     ;4.8578    ;12.40       ;5.87     
1452;* ksi Gem                          ;101.3223513354 +12.8955919797      ;-115.73 -190.55     ;55.56     ;27.20       ;3.36     
1453;* 35 Gem                           ;102.6062443902500 +13.4131787178100;  -2.200 -6.421     ;2.702     ;28.91       ;5.672    
1454;* e Gem                            ;103.6609922819879 +13.1778453179544; 68.745 -86.832     ;33.9184   ;24          ;4.715    
1455;* 16 Mon                           ;101.6350604959800 +08.5871576072600;  -6.953 -5.179     ;3.3288    ;10.3        ;5.92     
1456;HD 50277                           ;103.2061284685700 +08.3803970908000;-30.011 -32.347     ;16.2936   ;24.70       ;5.742    
1457;* 17 Mon                           ;101.8326257118700 +08.0372563528400;-24.428 -11.916     ;6.3783    ;46.19       ;4.77     
1458;* 18 Mon                           ;101.9651995234800 +02.4121763919800;-17.309 -15.921     ;8.2744    ;11.29       ;4.47     
1459;HD 50747                           ;103.6027145123300 -01.1269469964700; 16.373 -13.167     ;5.6524    ;-17.30      ;5.435    
1460;HD 49434                           ;102.0794428921800 -01.3189233978600;-37.120 -35.061     ;24.9902   ;-17.20      ;5.731    
1461;HD 49643                           ;102.3183574315100 -02.2720473319400;  -4.854 -2.263     ;2.5134    ;10.00       ;5.750    
1462;HD 49147                           ;101.6625670899000 -10.1073597432200;  -12.135 0.619     ;5.8999    ;17.00       ;5.646    
1463;HD 49331                           ;101.9050874090800 -08.9985027197300;   -4.843 1.222     ;1.102     ;26.00       ;5.062    
1464;* tet CMa                          ;103.5474952553600 -12.0386281010500;-136.654 -14.322    ;12.0676   ;96.20       ;4.08     
1465;HD 49048                           ;101.4974754610200 -14.7961290197300;-11.855 -17.816     ;8.0067    ;-11.60      ;5.298    
1466;* 11 CMa                           ;101.7128846556200 -14.4259754830300;   -2.462 8.996     ;3.6298    ;15.00       ;5.272    
1467;HD 49980                           ;102.5907016866100 -17.0845523232800;  -9.649 -2.450     ;1.3356    ;19.23       ;5.771    
1468;* iot CMa                          ;104.0342671942 -17.0542409633      ;     -3.56 2.42     ;1.30      ;41.20       ;4.385    
1469;HD 50644                           ;103.3283841020400 -19.0326942236800; -53.127 -6.118     ;11.0392   ;27.30       ;5.648    
1470;M 41                               ;101.4990 -20.7160                  ;  -4.339 -1.381     ;1.360     ;23.52       ;4.5      
1471;* pi. CMa                          ;103.9059601613300 -20.1364969045300;  51.109 39.971     ;33.5731   ;8.0         ;4.664    
1472;* 17 CMa                           ;103.7614083512200 -20.4048771756000; -0.242 -10.241     ;5.4157    ;-12.90      ;5.792    
1473;* 15 CMa                           ;103.3871132796 -20.2242549208      ;     -5.46 3.58     ;2.68      ;28.00       ;4.83     
1474;HD 51283                           ;103.9455336033100 -22.9414425961200;   -3.741 3.973     ;1.5187    ;38.00       ;5.30     
1475;* omi01 CMa                        ;103.5331344588300 -24.1842109726400;   -3.771 4.066     ;1.2869    ;36.3        ;3.87     
1476;Cl Collinder 121                   ;104.0833 -24.7300                  ;     -5.11 4.58     ;      ~   ;31.4        ;2.6      
1477;HD 49131                           ;101.3799532051900 -30.9489804700600;   -3.284 4.630     ;1.65      ;7.00        ;5.68     
1478;HD 49095                           ;101.3455849734479 -31.7936481139242;-217.138 -317.283   ;41.7838   ;28.87       ;5.916    
1479;* kap CMa                          ;102.4602471929 -32.5084784672      ;     -8.84 3.73     ;4.95      ;14.00       ;3.89     
1480;V* HZ CMa                          ;102.5972843991300 -31.7060578637000;  -2.874 15.309     ;5.1421    ;13.00       ;5.747    
1481;HD 50235                           ;102.7181317662500 -34.3673183535000;    3.452 1.129     ;3.637     ;31.72       ;4.989    
1482;HD 50445                           ;102.9267530561600 -36.2302721940500;-40.304 -59.965     ;18.1435   ;5.20        ;5.940    
1483;* x Pup                            ;101.8391636721200 -37.9296972274800;  -9.822 -9.990     ;10.1629   ;47.00       ;5.260    
1484;HD 51000                           ;104.2521742950300 +33.6810397701800;  -21.296 1.599     ;7.4363    ;-9.21       ;5.927    
1485;HD 53329                           ;106.5482990180900 +34.4739678460800;-54.282 -48.770     ;9.9493    ;3.28        ;5.551    
1486;HD 53686                           ;106.8433275063600 +34.0092888329200;-18.052 -30.002     ;3.8255    ;20.17       ;5.930    
1487;* ome Gem                          ;105.6032499688300 +24.2154462533000;  -7.054 -0.392     ;3.5179    ;-8.09       ;5.181    
1488;* zet Gem                          ;106.0272116263 +20.5702982975      ;    -7.29 -0.41     ;2.37      ;2.80        ;3.79     
1489;V* NP Gem                          ;105.6063911358100 +17.7555195920900;  19.639 26.865     ;4.1788    ;25.39       ;5.94     
1490;HD 52609                           ;105.6386970362600 +16.6744452364500; -11.716 -7.845     ;1.9018    ;34.10       ;5.848    
1491;* 41 Gem                           ;105.0659307184000 +16.0789958852800;  -2.203 -3.776     ;0.7209    ;20.96       ;5.69     
1492;HD 52556                           ;105.5728916619000 +15.3360098231100;  5.594 -24.153     ;5.51      ;-12.50      ;5.750    
1493;HD 52976                           ;105.9649946597800 +12.5942425382500;  -7.444 -6.759     ;2.4834    ;-16.80      ;5.985    
1494;HD 52960                           ;105.9086328421400 +10.9518176483800; -2.326 -11.402     ;5.5106    ;19.79       ;5.117    
1495;HD 51104                           ;104.1076368090900 +09.9565736905600; -14.245 -8.426     ;4.6443    ;33.0        ;5.897    
1496;HD 52913                           ;105.8246426270300 +09.1383578383300;  -19.518 5.205     ;12.6814   ;-12.00      ;5.953    
1497;HD 53510                           ;106.4126061312000 +09.1857906907600; 41.594 -11.293     ;4.6749    ;47.61       ;5.78     
1498;HD 51814                           ;104.7376015924700 +03.6023557194500;  -4.060 -3.631     ;4.2776    ;17.66       ;5.947    
1499;HD 53208                           ;106.0218639036600 -05.3239751459700;  -4.764 -2.139     ;1.9954    ;40.3        ;5.602    
1500;* 19 Mon                           ;105.7282361350 -04.2392326886      ;     -5.05 2.24     ;2.68      ;24.8        ;5.00     
1501;HD 52666                           ;105.4849317168200 -05.7220631309600;  -15.026 6.860     ;3.6785    ;1.70        ;5.192    
1502;HD 52312                           ;105.0989854444700 -08.4068185074700;   -6.833 2.829     ;3.162     ;10.00       ;5.939    
1503;HD 53974                           ;106.66986133 -11.29401101          ;     -3.14 3.32     ;1.07      ;31.00       ;5.39     
1504;* gam CMa                          ;105.9395543688 -15.6332861031      ;   -0.14 -11.36     ;7.38      ;32.00       ;4.12     
1505;HD 54309                           ;106.8441141509100 -23.8407149521900;   -3.402 2.423     ;1.3486    ;20.00       ;5.83     
1506;* omi02 CMa                        ;105.7561338125 -23.8332923078      ;     -2.21 3.61     ;1.18      ;48.40       ;3.02     
1507;HD 52018                           ;104.6495784844800 -25.4141537063500;   -7.275 5.667     ;2.8786    ;28.00       ;5.583    
1508;V* LS CMa                          ;105.2747760980500 -25.2156338083500;   -4.638 5.332     ;2.1591    ;6.00        ;5.635    
1509;HD 51733                           ;104.3912959300 -24.6308320492      ;   -90.29 92.20     ;26.36     ;20.00       ;5.46     
1510;* eps CMa                          ;104.65645315 -28.97208616          ;      3.24 1.33     ;8.05      ;27.30       ;1.50     
1511;* sig CMa                          ;105.4297824358 -27.9348304928      ;     -5.98 4.59     ;2.91      ;22.11       ;3.47     
1512;* t Pup                            ;104.6045369749200 -34.1116901177400;  -10.659 0.710     ;5.5437    ;19.20       ;5.068    
1513;* D Pup                            ;106.7794907127300 -40.8932695092500; -10.554 11.163     ;4.5288    ;6.00        ;5.783    
1514;* C Pup                            ;106.0116419400 -42.3372795719      ;   -17.46 71.63     ;9.36      ;27.9        ;5.191    
1515;HD 53705                           ;105.9888134234550 -43.6080349610192;-105.047 389.833    ;58.6192   ;88.615      ;5.28     
1516;* 64 Aur                           ;109.5092271031700 +40.8833936556500; -13.026 12.568     ;10.5189   ;-10.00      ;5.870    
1517;* 63 Aur                           ;107.9138605249800 +39.3205503384800;   45.314 2.986     ;7.6144    ;-27.89      ;4.886    
1518;* tau Gem                          ;107.7848763073704 +30.2451637698539;-30.725 -48.515     ;8.3261    ;21.27       ;4.42     
1519;* 53 Gem                           ;108.9881963553000 +27.8974209771400; -12.384 -1.967     ;4.0783    ;25.11       ;5.71     
1520;* 47 Gem                           ;107.8461138496900 +26.8565889947600;-19.210 -33.061     ;8.7883    ;38.50       ;5.750    
1521;* 52 Gem                           ;108.6749094305500 +24.8849842946300; 52.508 -89.655     ;8.2499    ;42.14       ;5.82     
1522;* 48 Gem                           ;108.1099009340600 +24.1285938894900;-17.952 -45.679     ;9.2055    ;13.0        ;5.85     
1523;* lam Gem                          ;109.5232454980700 +16.5403859947900;-46.157 -36.007     ;32.6068   ;-7.40       ;3.559    
1524;* 51 Gem                           ;108.3428159794000 +16.1589642189300; 12.727 -41.447     ;5.031     ;-9.00       ;5.00     
1525;* 45 Gem                           ;107.0918313104400 +15.9306766175200;-4.706 -102.950     ;10.7433   ;-18.48      ;5.476    
1526;HD 55730                           ;108.6359202680300 +12.1158240293100;-49.483 -17.060     ;9.892     ;29.63       ;5.702    
1527;HD 54079                           ;106.9562041387900 +07.4712147253900;  6.923 -32.954     ;5.427     ;24.18       ;5.739    
1528;HD 56031                           ;108.9142893542000 +07.9777437132300;   23.088 2.841     ;5.7896    ;-10.12      ;5.82     
1529;HD 55751                           ;108.5835947358400 +03.1114172638600;  -4.346 -2.106     ;4.2151    ;37.14       ;5.343    
1530;* del Mon                          ;107.9660865800 -00.4927696736      ;      0.79 4.52     ;8.49      ;15.00       ;4.15     
1531;* 21 Mon                           ;107.8483994053700 -00.3019292046800; -26.764 -9.813     ;11.432    ;34.50       ;5.428    
1532;HD 55775                           ;108.5452086883300 -03.9017781183800; -35.079 -7.952     ;3.7036    ;23.14       ;5.94     
1533;* 20 Mon                           ;107.5570062610300 -04.2371069597900; -0.460 217.452     ;16.811    ;77.750      ;4.92     
1534;HD 55832                           ;108.5646638937100 -09.9475329148400;   -5.074 2.563     ;1.4158    ;43.4        ;5.882    
1535;HD 56207                           ;108.9301736100200 -10.5836028627800;  30.013 -0.094     ;7.2876    ;-11.95      ;5.940    
1536;HD 55589                           ;108.2799756921000 -11.2513422131900;   -1.457 7.482     ;4.2671    ;9.80        ;5.752    
1537;HD 56405                           ;109.0606360685500 -15.5856905995500;-45.415 -14.578     ;12.9537   ;6.30        ;5.447    
1538;HD 55344                           ;107.9233532293400 -20.8830609939900;  -9.480 22.455     ;6.4637    ;18.00       ;5.825    
1539;HD 55762                           ;108.3501042776200 -22.6742416317700; 24.374 -39.015     ;4.3923    ;-4.52       ;5.960    
1540;* 145 CMa                          ;109.1534773210400 -23.3155939638500;   -3.816 3.896     ;1.2155    ;28.05       ;4.79     
1541;HD 56578                           ;109.1598170418800 -23.3109521158800; -33.211 41.583     ;9.4058    ;36.90       ;5.79     
1542;* del CMa                          ;107.0978502142 -26.3931995789      ;     -3.12 3.31     ;2.03      ;33.67       ;1.84     
1543;V* LZ CMa                          ;107.4292652463800 -25.2310335995700;   -4.494 3.394     ;1.5724    ;27.00       ;5.69     
1544;* 26 CMa                           ;108.0508946189400 -25.9425878007600;   -5.568 9.286     ;3.5923    ;21.6        ;5.897    
1545;* ome CMa                          ;108.7027244433 -26.7726693650      ;    -11.88 6.87     ;3.58      ;23.20       ;3.82     
1546;* 29 CMa                           ;109.6682455640400 -24.5586995134800;   -2.865 3.678     ;0.8549    ;20.00       ;4.95     
1547;* tau CMa                          ;109.6770267463 -24.9543725831      ;     -2.31 5.02     ;1.09      ;49.40       ;4.40     
1548;* 27 CMa                           ;108.5633829896 -26.3525086683      ;     -6.91 3.17     ;1.88      ;16.30       ;4.65     
1549;HD 56160                           ;108.7131717089100 -27.0379951831200;-41.340 -29.244     ;12.1774   ;9.24        ;5.582    
1550;HD 55070                           ;107.5805032156700 -27.4915191566400;   -9.365 2.377     ;4.9959    ;16.80       ;5.448    
1551;HD 56618                           ;109.1458033862000 -27.8811790454700; -13.193 38.623     ;7.6228    ;41.5        ;4.64     
1552;NAME CMa Dwarf Galaxy              ;108.1500 -27.6667                  ;            ~ ~     ;      ~   ;87.0        ;-0.1     
